,Age,TotalAll,TotalViolent,TotalProperty,MurderManslaughter,Rape,Robbery,AggravatedAssault,Burglary,Larceny,CarTheft,Arson,Assault,ForgeryCounterfeit,Fraud,Embezzlement,StolenProperty,Vandalism,Weapons,CommercialSex,Sex,DrugAbuse,Gambling,FamilyChildren,DUI,LiquorLaws,Drunkenness,DisorderlyConduct,Vagrancy,AllOther,Suspicion,CurfewLoitering,NumberAgencies,Population,State,Year
64,Under 18,26195,1817,7370,32,43,867,875,1352,5562,343,113,3719,57,229,5,568,2479,406,22,390,3805,16.0,36,170,502,0,1126,11,3467,0.0,0,435.0,10496474.0,NEW YORK,2013
65,Total all ages,300442,12902,59628,254,354,3605,8689,7872,49635,1794,327,34392,2952,5444,90,4661,15131,3248,1158,2191,61633,117.0,342,29977,2893,0,9750,798,53135,0.0,0,,,NEW YORK,2013
66,Under 18,28760,1487,7729,39,48,597,803,2028,5468,145,88,5476,30,298,16,402,1101,1044,14,145,2435,2.0,60,318,962,0,2613,0,4628,0.0,0,306.0,8759566.0,NORTH CAROLINA,2013
67,Total all ages,395015,17148,62371,567,411,3876,12294,14163,46754,1137,317,48870,2114,13751,1291,3933,6579,6120,715,1394,35470,197.0,7462,41247,7877,0,10608,269,127599,0.0,0,,,NORTH CAROLINA,2013
68,Under 18,4003,38,672,0,7,2,29,50,579,34,9,386,1,11,7,32,159,17,0,26,346,0.0,53,38,661,2,655,0,811,0.0,88,98.0,714526.0,NORTH DAKOTA,2013
69,Total all ages,30642,585,2947,8,32,44,501,218,2556,157,16,2376,77,377,36,141,453,333,43,77,3345,2.0,133,7077,3985,338,1848,6,6375,0.0,88,,,NORTH DAKOTA,2013
70,Under 18,23051,878,4801,6,48,458,366,776,3736,183,106,4732,15,123,3,426,1058,306,6,176,1742,0.0,161,94,904,15,1567,20,5529,3.0,492,416.0,8369913.0,OHIO,2013
71,Total all ages,224248,6589,35489,134,368,2191,3896,4972,29585,705,227,30773,1141,2376,39,3072,3684,2781,1710,680,28612,16.0,1532,33808,7208,1722,13498,35,48940,51.0,492,,,OHIO,2013
72,Under 18,11971,460,3438,11,24,133,292,505,2742,93,98,958,4,45,31,258,286,188,5,29,1295,0.0,74,108,210,438,675,0,2230,0.0,1239,319.0,3707079.0,OKLAHOMA,2013
73,Total all ages,125534,4908,18620,156,207,658,3887,2361,15517,517,225,8319,612,1666,436,2571,1241,2148,320,498,16946,11.0,666,13244,1590,16713,2419,6,31361,0.0,1239,,,OKLAHOMA,2013
74,Under 18,7042,151,1613,0,6,28,117,158,1327,73,55,718,2,34,0,35,609,62,0,60,1128,0.0,5,35,879,0,323,0,997,0.0,391,106.0,1451298.0,OREGON,2013
75,Total all ages,54323,1648,9446,29,53,288,1278,960,7816,567,103,4843,330,901,19,290,2080,847,49,338,10009,0.0,252,6699,3452,0,3282,1,9446,0.0,391,,,OREGON,2013
76,Under 18,61442,3414,8045,17,242,1175,1980,1262,6255,381,147,5845,55,168,26,283,2216,1151,24,481,4076,7.0,35,380,3691,232,9731,49,4390,0.0,17143,1148.0,11907015.0,PENNSYLVANIA,2013
77,Total all ages,413486,22113,61049,460,1152,5873,14628,9280,48997,2328,444,43137,2509,6765,441,2441,8089,4153,1995,2304,54452,100.0,1717,45744,15432,22919,44251,505,56227,0.0,17143,,,PENNSYLVANIA,2013
78,Under 18,3083,108,623,0,12,42,54,130,455,22,16,502,0,17,1,37,205,89,0,26,168,0.0,66,16,56,1,597,0,546,0.0,25,48.0,1051511.0,RHODE ISLAND,2013
