,Year,State,Age,CommercialSexAct,InvoluntaryServitude,TotalTraffick
192,2019,MARYLAND,Total all ages,1856,625,2481
193,2019,MARYLAND,Under 18,0,49,49
194,2019,MASSACHUSETTS,Total all ages,1497,762,2259
195,2019,MICHIGAN,Total all ages,3514,109,3623
196,2019,MINNESOTA,Total all ages,7895,832,8727
197,2019,MINNESOTA,Under 18,64,0,64
198,2019,MISSISSIPPI,Total all ages,89,0,89
199,2019,MISSOURI,Total all ages,1226,550,1776
200,2019,MONTANA,Total all ages,210,0,210
201,2019,NEBRASKA,Total all ages,192,0,192
202,2019,NEVADA,Total all ages,11776,0,11776
203,2019,NEVADA,Under 18,64,0,64
204,2019,NEW HAMPSHIRE,Total all ages,128,0,128
205,2019,NEW JERSEY,Total all ages,91,121,212
206,2019,NEW MEXICO,Total all ages,320,192,512
207,2019,NEW YORK,Total all ages,64,0,64
208,2019,NORTH CAROLINA,Total all ages,2560,1881,4441
209,2019,NORTH DAKOTA,Total all ages,256,0,256
210,2019,OHIO,Total all ages,576,128,704
211,2019,OKLAHOMA,Total all ages,384,0,384
212,2019,OREGON,Total all ages,1856,0,1856
213,2019,RHODE ISLAND,Total all ages,595,256,851
214,2019,SOUTH CAROLINA,Total all ages,1585,128,1713
215,2019,SOUTH DAKOTA,Total all ages,128,0,128
216,2019,TENNESSEE,Total all ages,2929,256,3185
217,2019,TEXAS,Total all ages,22654,7681,30335
218,2019,TEXAS,Under 18,368,263,631
219,2019,UTAH,Total all ages,4928,0,4928
220,2019,VERMONT,Total all ages,158,0,158
221,2019,VIRGINIA,Total all ages,3203,180,3383
222,2019,VIRGINIA,Under 18,192,0,192
223,2019,WASHINGTON,Total all ages,3477,192,3669
224,2019,WEST VIRGINIA,Total all ages,1731,64,1795
225,2019,WISCONSIN,Total all ages,6504,646,7150
226,2019,WISCONSIN,Under 18,96,0,96
227,2020,ALABAMA,Total all ages,128,0,128
228,2020,ALASKA,Total all ages,192,64,256
229,2020,ARIZONA,Total all ages,1840,0,1840
230,2020,ARKANSAS,Total all ages,64,64,128
231,2020,COLORADO,Total all ages,2288,256,2544
232,2020,CONNECTICUT,Total all ages,571,64,635
233,2020,DELAWARE,Total all ages,304,180,484
