,Age,TotalAll,TotalViolent,TotalProperty,MurderManslaughter,Rape,Robbery,AggravatedAssault,Burglary,Larceny,CarTheft,Arson,Assault,ForgeryCounterfeit,Fraud,Embezzlement,StolenProperty,Vandalism,Weapons,CommercialSex,Sex,DrugAbuse,Gambling,FamilyChildren,DUI,LiquorLaws,Drunkenness,DisorderlyConduct,Vagrancy,AllOther,Suspicion,CurfewLoitering,NumberAgencies,Population,State,Year,TotalNonTraffickSex
687,Under 18,4313,113,881,0,11,15,87,48,778,46,9,612,3,5,0,6,246,17,0,23,385,0,40,44,575,0,398,0,659,0,306,100,1037591,MONTANA,2017,34
688,Total all ages,30824,1262,4965,19,47,91,1105,275,4401,252,37,4390,106,254,30,98,931,85,9,102,2872,0,253,4344,2023,0,2475,10,6309,0,306,0,0,MONTANA,2017,149
689,Over 18,26511,1149,4084,19,36,76,1018,227,3623,206,28,3778,103,249,30,92,685,68,9,79,2487,0,213,4300,1448,0,2077,10,5650,0,0,0,0,MONTANA,2017,115
690,Under 18,3722,81,666,1,11,10,59,58,546,57,5,501,1,10,2,0,189,15,0,15,358,0,35,38,499,0,254,0,760,0,298,97,995183,MONTANA,2018,26
691,Total all ages,27357,1174,4114,10,64,97,1003,296,3487,305,26,3962,100,196,40,110,762,75,12,81,2732,0,321,3794,1406,0,2003,10,6167,0,298,0,0,MONTANA,2018,145
692,Over 18,23635,1093,3448,9,53,87,944,238,2941,248,21,3461,99,186,38,110,573,60,12,66,2374,0,286,3756,907,0,1749,10,5407,0,0,0,0,MONTANA,2018,119
693,Under 18,4355,180,658,0,14,4,162,62,535,55,6,580,3,10,1,21,245,16,0,30,324,0,40,56,523,79,413,0,902,0,274,78,938389,MONTANA,2019,44
694,Total all ages,30218,1758,4584,18,61,84,1595,314,3971,281,18,4083,175,188,34,247,867,74,4,110,2661,1,672,3681,1020,309,2385,24,7066,1,274,0,0,MONTANA,2019,171
695,Over 18,25863,1578,3926,18,47,80,1433,252,3436,226,12,3503,172,178,33,226,622,58,4,80,2337,1,632,3625,497,230,1972,24,6164,1,0,0,0,MONTANA,2019,127
696,Under 18,3258,199,486,3,10,13,173,35,393,50,8,415,1,6,3,14,194,5,1,22,193,0,80,69,486,135,244,0,521,0,184,97,1069494,MONTANA,2020,32
697,Total all ages,30254,2147,4028,29,62,110,1946,304,3383,307,34,4395,114,125,32,190,1025,72,5,118,2364,1,863,3914,1315,447,2329,3,6583,0,184,0,0,MONTANA,2020,180
698,Over 18,26996,1948,3542,26,52,97,1773,269,2990,257,26,3980,113,119,29,176,831,67,4,96,2171,1,783,3845,829,312,2085,3,6062,0,0,0,0,MONTANA,2020,148
699,Under 18,3085,122,403,1,8,16,97,29,311,45,18,520,3,4,0,12,175,8,0,18,63,0,67,90,390,0,312,0,707,0,191,98,1043486,MONTANA,2021,26
700,Total all ages,26923,1762,3734,22,69,103,1568,298,3067,318,51,4820,92,147,28,230,848,52,3,122,1676,0,449,4037,1001,0,2177,22,5532,0,191,0,0,MONTANA,2021,191
701,Over 18,23838,1640,3331,21,61,87,1471,269,2756,273,33,4300,89,143,28,218,673,44,3,104,1613,0,382,3947,611,0,1865,22,4825,0,0,0,0,MONTANA,2021,165
702,Under 18,9858,167,2477,0,20,59,88,175,2195,68,39,1481,9,68,9,123,652,100,0,121,1224,0,12,126,1072,0,631,2,1447,0,137,198,1659743,NEBRASKA,2013,141
703,Total all ages,69957,1912,9981,42,156,270,1444,753,8839,325,64,7233,385,1348,82,639,2103,956,164,502,10366,6,1248,9193,7177,0,2724,52,13749,0,137,0,0,NEBRASKA,2013,658
704,Over 18,60099,1745,7504,42,136,211,1356,578,6644,257,25,5752,376,1280,73,516,1451,856,164,381,9142,6,1236,9067,6105,0,2093,50,12302,0,0,0,0,NEBRASKA,2013,517
705,Under 18,11789,242,3196,8,19,77,138,228,2854,90,24,1489,6,86,13,137,778,141,0,121,1587,0,17,122,1217,0,785,0,1692,0,160,162,1692672,NEBRASKA,2014,140
706,Total all ages,73802,2237,10825,45,145,294,1753,734,9697,341,53,7066,331,1419,94,699,2368,1016,130,470,11965,6,1241,8372,6913,1,3188,62,15239,0,160,0,0,NEBRASKA,2014,615
707,Over 18,62013,1995,7629,37,126,217,1615,506,6843,251,29,5577,325,1333,81,562,1590,875,130,349,10378,6,1224,8250,5696,1,2403,62,13547,0,0,0,0,NEBRASKA,2014,475
708,Under 18,6290,79,1404,1,5,26,47,111,1210,59,24,1001,6,35,4,70,419,51,2,62,1023,0,4,72,674,0,307,0,948,0,129,146,1172029,NEBRASKA,2015,67
709,Total all ages,45859,1170,5932,9,106,124,931,395,5241,248,48,4875,179,829,28,281,1288,617,49,253,8589,0,810,5348,4058,0,1786,14,9624,0,129,0,0,NEBRASKA,2015,359
710,Over 18,39569,1091,4528,8,101,98,884,284,4031,189,24,3874,173,794,24,211,869,566,47,191,7566,0,806,5276,3384,0,1479,14,8676,0,0,0,0,NEBRASKA,2015,292
711,Under 18,8921,168,2377,5,59,54,50,102,2133,115,27,1351,7,77,15,80,654,93,0,95,1304,0,27,109,682,0,427,0,1311,0,144,153,1721852,NEBRASKA,2016,154
712,Total all ages,68310,1912,10124,40,259,296,1317,582,9070,416,56,8242,274,1374,98,619,2210,1103,131,453,11878,0,1257,6948,4862,0,2714,16,13951,0,144,0,0,NEBRASKA,2016,712
713,Over 18,59389,1744,7747,35,200,242,1267,480,6937,301,29,6891,267,1297,83,539,1556,1010,131,358,10574,0,1230,6839,4180,0,2287,16,12640,0,0,0,0,NEBRASKA,2016,558
714,Under 18,599,27,83,0,2,0,25,10,58,15,0,87,0,1,0,2,34,4,0,3,87,0,1,19,90,12,38,0,95,0,16,54,233437,NEBRASKA,2017,5
715,Total all ages,5708,161,523,1,12,5,143,53,424,44,2,617,18,67,3,35,95,65,1,28,843,0,76,785,416,178,282,0,1499,0,16,0,0,NEBRASKA,2017,40
716,Over 18,5109,134,440,1,10,5,118,43,366,29,2,530,18,66,3,33,61,61,1,25,756,0,75,766,326,166,244,0,1404,0,0,0,0,NEBRASKA,2017,35
717,Under 18,6985,207,1426,6,46,90,65,65,1222,121,18,1255,5,61,4,105,394,78,0,66,1006,0,199,63,504,1,341,0,1142,0,128,118,1516162,NEBRASKA,2018,112
718,Total all ages,53007,1671,6581,36,213,247,1175,398,5735,391,57,7474,236,1066,63,736,1693,775,92,314,8993,0,945,4630,2355,1,1851,13,13390,0,128,0,0,NEBRASKA,2018,527
719,Over 18,46022,1464,5155,30,167,157,1110,333,4513,270,39,6219,231,1005,59,631,1299,697,92,248,7987,0,746,4567,1851,0,1510,13,12248,0,0,0,0,NEBRASKA,2018,415
720,Under 18,8282,242,1846,2,48,130,62,93,1565,165,23,1605,2,72,8,123,626,115,0,67,1111,0,106,56,521,0,398,0,1285,0,99,127,1761663,NEBRASKA,2019,115
721,Total all ages,61726,2224,8233,34,248,361,1581,485,7255,432,61,8434,271,1207,69,684,2180,1072,109,389,10869,3,1255,5676,2798,0,2392,11,13751,0,99,0,0,NEBRASKA,2019,637
722,Over 18,53444,1982,6387,32,200,231,1519,392,5690,267,38,6829,269,1135,61,561,1554,957,109,322,9758,3,1149,5620,2277,0,1994,11,12466,0,0,0,0,NEBRASKA,2019,522
723,Under 18,4634,170,918,2,26,77,65,53,740,108,17,806,4,53,5,95,344,78,0,33,548,0,176,43,256,6,153,0,857,1,88,72,1092666,NEBRASKA,2020,59
724,Total all ages,35682,1675,4765,35,194,256,1190,294,4097,315,59,5765,141,572,25,522,1372,669,24,200,4431,1,694,3152,1130,331,1753,9,8354,9,88,0,0,NEBRASKA,2020,394
725,Over 18,31048,1505,3847,33,168,179,1125,241,3357,207,42,4959,137,519,20,427,1028,591,24,167,3883,1,518,3109,874,325,1600,9,7497,8,0,0,0,NEBRASKA,2020,335
726,Under 18,4424,121,588,2,16,29,74,68,409,94,17,1007,1,43,9,16,424,35,0,40,610,0,218,60,298,0,97,0,765,0,92,131,1315324,NEBRASKA,2021,56
727,Total all ages,38036,1669,2870,20,119,90,1440,245,2369,207,49,4255,141,411,21,233,1328,481,29,119,7242,2,542,4767,1873,0,1530,620,9811,0,92,0,0,NEBRASKA,2021,238
728,Over 18,33612,1548,2282,18,103,61,1366,177,1960,113,32,3248,140,368,12,217,904,446,29,79,6632,2,324,4707,1575,0,1433,620,9046,0,0,0,0,NEBRASKA,2021,182
729,Under 18,10509,610,2170,4,29,160,417,386,1640,114,30,1688,0,29,5,100,478,141,103,64,922,4,31,50,1013,67,206,5,1959,0,864,31,2543547,NEVADA,2013,93
730,Total all ages,122498,6200,13930,117,202,1517,4364,2668,10380,744,138,13946,727,1416,393,1358,1586,1560,3550,1080,11207,10,925,8841,5968,175,1495,2073,45192,2,864,0,0,NEVADA,2013,1282
731,Over 18,111989,5590,11760,113,173,1357,3947,2282,8740,630,108,12258,727,1387,388,1258,1108,1419,3447,1016,10285,6,894,8791,4955,108,1289,2068,43233,2,0,0,0,NEVADA,2013,1189
732,Under 18,10468,867,2194,4,47,216,600,423,1596,147,28,1587,4,17,4,135,387,159,87,78,998,4,25,52,812,61,217,31,2021,1,727,34,2824905,NEVADA,2014,125
733,Total all ages,122274,7808,13639,122,279,1809,5598,2736,9987,851,65,14366,626,1513,344,1241,1500,1492,3827,1002,12508,50,946,8072,4925,211,1589,1795,44091,2,727,0,0,NEVADA,2014,1281
734,Over 18,111806,6941,11445,118,232,1593,4998,2313,8391,704,37,12779,622,1496,340,1106,1113,1333,3740,924,11510,46,921,8020,4113,150,1372,1764,42070,1,0,0,0,NEVADA,2014,1156
735,Under 18,9379,953,2033,7,58,298,590,426,1456,125,26,1593,5,21,5,140,353,126,69,41,854,3,31,35,646,31,141,9,1685,2,603,45,2890845,NEVADA,2015,99
736,Total all ages,115675,8337,12475,131,340,1996,5870,2677,8936,805,57,13976,619,1639,338,1523,1472,1460,3308,797,11594,35,902,7612,3680,190,1250,1753,42108,4,603,0,0,NEVADA,2015,1137
737,Over 18,106296,7384,10442,124,282,1698,5280,2251,7480,680,31,12383,614,1618,333,1383,1119,1334,3239,756,10740,32,871,7577,3034,159,1109,1744,40423,2,0,0,0,NEVADA,2015,1038
738,Under 18,8441,1047,1408,5,52,372,618,264,995,137,12,1444,10,37,3,144,282,167,70,42,837,2,29,58,521,6,167,8,1682,5,472,51,2940058,NEVADA,2016,94
739,Total all ages,125932,8351,10450,166,257,1905,6023,2519,6978,900,53,14022,605,1635,331,1584,1482,1893,2892,714,13770,33,963,10660,3383,214,1292,1512,49669,5,472,0,0,NEVADA,2016,971
740,Over 18,117491,7304,9042,161,205,1533,5405,2255,5983,763,41,12578,595,1598,328,1440,1200,1726,2822,672,12933,31,934,10602,2862,208,1125,1504,47987,0,0,0,0,NEVADA,2016,877
741,Under 18,7672,924,1159,4,54,319,547,337,700,108,14,1720,40,31,2,166,217,171,44,47,741,0,6,50,372,4,194,64,1304,4,412,51,2680733,NEVADA,2017,101
742,Total all ages,112004,6506,8946,157,321,1388,4640,2572,5658,671,45,15438,488,1404,201,1681,1365,1885,2532,695,8923,9,702,9470,1950,241,1353,1648,45968,187,412,0,0,NEVADA,2017,1016
743,Over 18,104332,5582,7787,153,267,1069,4093,2235,4958,563,31,13718,448,1373,199,1515,1148,1714,2488,648,8182,9,696,9420,1578,237,1159,1584,44664,183,0,0,0,NEVADA,2017,915
744,Under 18,10026,1340,1262,24,70,304,942,266,855,121,20,1944,5,45,12,169,261,231,55,74,1244,2,23,70,430,125,615,2,1757,0,360,47,3013371,NEVADA,2018,144
745,Total all ages,140967,8012,10245,191,408,1411,6002,3103,6314,749,79,17883,428,1813,282,1850,1635,2240,2859,903,11238,23,961,10984,3720,362,2213,3182,59772,2,360,0,0,NEVADA,2018,1311
746,Over 18,130941,6672,8983,167,338,1107,5060,2837,5459,628,59,15939,423,1768,270,1681,1374,2009,2804,829,9994,21,938,10914,3290,237,1598,3180,58015,2,0,0,0,NEVADA,2018,1167
747,Under 18,10818,955,1246,7,58,252,638,222,886,116,22,2041,14,134,12,183,331,280,110,103,1778,6,27,56,315,89,1216,11,1579,0,332,41,2948674,NEVADA,2019,161
748,Total all ages,145951,7560,10248,124,423,1286,5727,3145,6357,670,76,18855,476,2033,356,1839,1829,2355,2960,1157,12092,34,962,11170,3033,262,2646,3383,62323,46,332,0,0,NEVADA,2019,1580
749,Over 18,135133,6605,9002,117,365,1034,5089,2923,5471,554,54,16814,462,1899,344,1656,1498,2075,2850,1054,10314,28,935,11114,2718,173,1430,3372,60744,46,0,0,0,NEVADA,2019,1419
750,Under 18,6339,472,653,6,57,194,215,133,449,59,12,1606,3,98,5,135,218,149,29,55,806,8,19,62,341,149,259,1,1010,12,249,52,3130836,NEVADA,2020,112
751,Total all ages,110516,5816,8106,134,360,1189,4133,2148,5284,574,100,19503,409,1399,242,1822,2026,2624,2099,765,10130,26,724,9530,1906,224,2032,573,40221,90,249,0,0,NEVADA,2020,1125
752,Over 18,104177,5344,7453,128,303,995,3918,2015,4835,515,88,17897,406,1301,237,1687,1808,2475,2070,710,9324,18,705,9468,1565,75,1773,572,39211,78,0,0,0,NEVADA,2020,1013
753,Under 18,5048,496,458,11,67,225,193,100,282,69,7,1764,3,20,3,110,210,137,42,49,428,4,3,60,251,0,195,0,504,0,311,35,3095335,NEVADA,2021,116
754,Total all ages,102790,5701,7283,159,315,1147,4080,1751,4704,702,126,20439,263,955,164,1837,2120,2985,1988,343,8576,40,634,11023,1285,0,1971,327,34545,0,311,0,0,NEVADA,2021,658
755,Over 18,97742,5205,6825,148,248,922,3887,1651,4422,633,119,18675,260,935,161,1727,1910,2848,1946,294,8148,36,631,10963,1034,0,1776,327,34041,0,0,0,0,NEVADA,2021,542
756,Under 18,4736,92,671,0,7,29,56,69,579,11,12,807,9,22,4,76,317,7,0,45,558,3,1,36,604,212,178,0,1077,0,17,148,1174048,NEW HAMPSHIRE,2013,52
757,Total all ages,44554,871,5222,8,52,241,570,470,4637,85,30,5476,282,899,47,736,1242,96,48,164,4270,18,175,3700,3410,3263,1191,72,13355,0,17,0,0,NEW HAMPSHIRE,2013,216
758,Over 18,39818,779,4551,8,45,212,514,401,4058,74,18,4669,273,877,43,660,925,89,48,119,3712,15,174,3664,2806,3051,1013,72,12278,0,0,0,0,NEW HAMPSHIRE,2013,164
759,Under 18,4199,96,604,0,9,26,61,50,522,22,10,661,1,16,7,66,262,7,0,27,607,0,3,44,509,136,120,0,1012,0,21,152,1217941,NEW HAMPSHIRE,2014,36
760,Total all ages,46180,864,4918,1,54,205,604,411,4390,83,34,5258,224,873,95,700,1158,108,64,143,6224,23,158,4528,3425,3259,1046,55,13036,0,21,0,0,NEW HAMPSHIRE,2014,197
761,Over 18,41981,768,4314,1,45,179,543,361,3868,61,24,4597,223,857,88,634,896,101,64,116,5617,23,155,4484,2916,3123,926,55,12024,0,0,0,0,NEW HAMPSHIRE,2014,161
762,Under 18,3421,59,441,1,5,11,42,44,374,18,5,575,2,8,3,54,163,7,0,21,579,0,4,36,434,156,124,0,741,0,14,163,1223429,NEW HAMPSHIRE,2015,26
763,Total all ages,44368,772,4355,9,57,169,537,378,3863,96,18,4800,244,822,124,543,927,138,59,123,7371,6,123,4746,3139,3302,943,55,11762,0,14,0,0,NEW HAMPSHIRE,2015,180
764,Over 18,40947,713,3914,8,52,158,495,334,3489,78,13,4225,242,814,121,489,764,131,59,102,6792,6,119,4710,2705,3146,819,55,11021,0,0,0,0,NEW HAMPSHIRE,2015,154
765,Under 18,3564,78,404,0,12,24,42,33,343,15,13,568,4,18,3,43,223,1,0,26,637,1,8,42,389,233,99,0,774,0,13,174,1275170,NEW HAMPSHIRE,2016,38
766,Total all ages,47282,874,3975,5,58,179,632,336,3499,114,26,5115,236,843,122,547,1178,171,91,128,8346,7,160,4874,2907,3683,954,65,12993,0,13,0,0,NEW HAMPSHIRE,2016,186
767,Over 18,43718,796,3571,5,46,155,590,303,3156,99,13,4547,232,825,119,504,955,170,91,102,7709,6,152,4832,2518,3450,855,65,12219,0,0,0,0,NEW HAMPSHIRE,2016,148
768,Under 18,3529,67,373,1,0,17,49,39,300,23,11,557,5,19,6,33,194,5,0,24,507,0,10,36,371,313,133,0,865,0,11,176,1292643,NEW HAMPSHIRE,2017,24
769,Total all ages,47516,896,3642,8,52,168,668,319,3143,152,28,5306,292,787,120,503,1247,139,79,99,7656,12,202,4805,2489,4210,1001,82,13938,0,11,0,0,NEW HAMPSHIRE,2017,151
770,Over 18,43987,829,3269,7,52,151,619,280,2843,129,17,4749,287,768,114,470,1053,134,79,75,7149,12,192,4769,2118,3897,868,82,13073,0,0,0,0,NEW HAMPSHIRE,2017,127
771,Under 18,3283,59,349,0,8,16,35,39,278,23,9,600,2,12,6,37,205,4,0,31,344,0,5,29,267,209,68,0,1026,0,30,184,1317257,NEW HAMPSHIRE,2018,39
772,Total all ages,46413,872,3681,10,76,144,642,309,3186,165,21,5668,237,758,91,553,1254,146,24,130,6522,5,187,5053,1989,3844,884,99,14386,0,30,0,0,NEW HAMPSHIRE,2018,206
773,Over 18,43130,813,3332,10,68,128,607,270,2908,142,12,5068,235,746,85,516,1049,142,24,99,6178,5,182,5024,1722,3635,816,99,13360,0,0,0,0,NEW HAMPSHIRE,2018,167
774,Under 18,3243,58,241,3,7,12,36,25,197,17,2,619,3,11,6,28,193,4,0,25,337,0,1,34,186,215,88,0,1184,0,10,182,1281465,NEW HAMPSHIRE,2019,32
775,Total all ages,43960,723,3370,15,89,129,490,246,2962,148,14,5357,226,728,80,455,1139,119,49,128,5584,3,144,5116,1783,3839,908,94,14105,0,10,0,0,NEW HAMPSHIRE,2019,217
776,Over 18,40717,665,3129,12,82,117,454,221,2765,131,12,4738,223,717,74,427,946,115,49,103,5247,3,143,5082,1597,3624,820,94,12921,0,0,0,0,NEW HAMPSHIRE,2019,185
777,Under 18,2313,42,163,0,5,6,31,10,126,22,5,405,4,8,3,11,148,1,0,27,196,0,7,36,250,96,44,0,858,0,14,181,1311307,NEW HAMPSHIRE,2020,32
778,Total all ages,35548,655,2724,2,71,107,475,234,2325,143,22,4920,165,456,62,370,1010,126,23,100,4382,1,140,3919,1406,1749,799,118,12409,0,14,0,0,NEW HAMPSHIRE,2020,171
779,Over 18,33235,613,2561,2,66,101,444,224,2199,121,17,4515,161,448,59,359,862,125,23,73,4186,1,133,3883,1156,1653,755,118,11551,0,0,0,0,NEW HAMPSHIRE,2020,139
780,Under 18,1915,35,115,0,12,3,20,25,82,8,0,359,0,10,3,13,138,4,0,17,145,0,5,24,198,0,54,0,793,0,2,181,1204875,NEW HAMPSHIRE,2021,29
781,Total all ages,32486,513,2094,6,65,78,364,178,1782,121,13,3888,124,326,46,326,945,191,1,115,3594,1,135,3596,1491,0,732,98,14268,0,2,0,0,NEW HAMPSHIRE,2021,180
782,Over 18,30571,478,1979,6,53,75,344,153,1700,113,13,3529,124,316,43,313,807,187,1,98,3449,1,130,3572,1293,0,678,98,13475,0,0,0,0,NEW HAMPSHIRE,2021,151
783,Under 18,21459,1748,3723,16,40,920,772,780,2728,122,93,2068,29,67,6,460,850,661,18,224,4022,32,108,153,1053,0,1868,25,3344,0,1000,482,8585551,NEW JERSEY,2013,264
784,Total all ages,302955,10871,31093,232,289,3557,6793,5566,24643,666,218,22231,1255,2956,271,3073,3980,3969,1147,1180,50775,143,11168,23765,3753,0,13653,233,116439,0,1000,0,0,NEW JERSEY,2013,1469
785,Over 18,281496,9123,27370,216,249,2637,6021,4786,21915,544,125,20163,1226,2889,265,2613,3130,3308,1129,956,46753,111,11060,23612,2700,0,11785,208,113095,0,0,0,0,NEW JERSEY,2013,1205
786,Under 18,21058,1579,3548,18,50,784,727,743,2598,117,90,1784,47,122,9,427,816,792,5,198,3742,37,43,133,975,0,1772,32,3210,0,1787,481,8525652,NEW JERSEY,2014,248
787,Total all ages,303639,10377,30216,247,315,3327,6488,4998,24468,537,213,21541,1142,4891,321,2735,3792,3832,926,1129,52721,253,10102,23031,3797,0,14943,346,115757,0,1787,0,0,NEW JERSEY,2014,1444
788,Over 18,282581,8798,26668,229,265,2543,5761,4255,21870,420,123,19757,1095,4769,312,2308,2976,3040,921,931,48979,216,10059,22898,2822,0,13171,314,112547,0,0,0,0,NEW JERSEY,2014,1196
789,Under 18,16348,1298,2887,19,47,610,622,573,2130,108,76,1566,28,70,8,383,802,621,15,136,3127,29,64,170,758,0,1309,21,2594,0,462,473,8116733,NEW JERSEY,2015,183
790,Total all ages,264250,8697,26181,154,338,2650,5555,4069,21342,617,153,19819,1004,3498,283,2089,3530,3268,623,902,46376,338,8344,22201,3580,0,11395,397,101263,0,462,0,0,NEW JERSEY,2015,1240
791,Over 18,247902,7399,23294,135,291,2040,4933,3496,19212,509,77,18253,976,3428,275,1706,2728,2647,608,766,43249,309,8280,22031,2822,0,10086,376,98669,0,0,0,0,NEW JERSEY,2015,1057
792,Under 18,17784,1409,2794,13,69,637,690,615,2029,88,62,1633,40,64,10,415,693,667,9,107,3574,31,37,129,778,0,1413,11,2574,0,1396,494,8747889,NEW JERSEY,2016,176
793,Total all ages,294972,10001,26736,198,396,3000,6407,4334,21723,499,180,22348,1047,3896,320,2693,3858,4054,849,963,61579,421,7426,22745,3044,0,12723,274,108599,0,1396,0,0,NEW JERSEY,2016,1359
794,Over 18,277188,8592,23942,185,327,2363,5717,3719,19694,411,118,20715,1007,3832,310,2278,3165,3387,840,856,58005,390,7389,22616,2266,0,11310,263,106025,0,0,0,0,NEW JERSEY,2016,1183
795,Under 18,15950,1123,2709,6,62,510,545,478,2093,89,49,1312,39,48,12,456,658,566,9,157,3535,30,27,76,682,0,1281,25,2613,0,592,490,8521517,NEW JERSEY,2017,219
796,Total all ages,281631,8577,24807,149,333,2472,5623,3910,20274,494,129,20175,1020,3478,269,2511,3297,3838,900,916,61989,158,8915,21574,2876,0,11629,299,103811,0,592,0,0,NEW JERSEY,2017,1249
797,Over 18,265681,7454,22098,143,271,1962,5078,3432,18181,405,80,18863,981,3430,257,2055,2639,3272,891,759,58454,128,8888,21498,2194,0,10348,274,101198,0,0,0,0,NEW JERSEY,2017,1030
798,Under 18,11513,870,1819,11,44,369,446,305,1382,97,35,1003,24,65,12,325,398,470,4,94,2769,0,13,42,395,0,992,23,1892,0,303,478,7844556,NEW JERSEY,2018,138
799,Total all ages,226427,7146,20307,115,274,1699,5058,2982,16659,540,126,16839,852,3558,214,1826,2474,2766,522,895,48008,41,7297,17230,1356,24,9922,197,84648,2,303,0,0,NEW JERSEY,2018,1169
800,Over 18,214914,6276,18488,104,230,1330,4612,2677,15277,443,91,15836,828,3493,202,1501,2076,2296,518,801,45239,41,7284,17188,961,24,8930,174,82756,2,0,0,0,NEW JERSEY,2018,1031
801,Under 18,13360,1041,2199,12,53,466,510,434,1572,173,20,1171,26,55,15,498,501,605,2,141,2959,61,56,67,417,4,1101,8,2031,0,402,577,8882190,NEW JERSEY,2019,194
802,Total all ages,257734,9294,22277,184,356,2063,6691,3309,18200,647,121,20570,950,3852,212,2482,3068,3791,770,1026,55611,169,7379,21112,1825,66,11207,168,91406,97,402,0,0,NEW JERSEY,2019,1382
803,Over 18,244374,8253,20078,172,303,1597,6181,2875,16628,474,101,19399,924,3797,197,1984,2567,3186,768,885,52652,108,7323,21045,1408,62,10106,160,89375,97,0,0,0,NEW JERSEY,2019,1188
804,Under 18,8448,717,1442,18,42,324,333,336,932,134,40,554,20,40,6,444,362,407,1,94,1771,19,35,60,202,3,594,10,1448,2,217,577,8882371,NEW JERSEY,2020,136
805,Total all ages,168018,8937,16124,164,327,1781,6665,2783,12595,587,159,18869,580,1885,107,2448,2828,3636,300,778,37799,65,2658,14316,927,69,7577,143,47699,56,217,0,0,NEW JERSEY,2020,1105
806,Over 18,159570,8220,14682,146,285,1457,6332,2447,11663,453,119,18315,560,1845,101,2004,2466,3229,299,684,36028,46,2623,14256,725,66,6983,133,46251,54,0,0,0,NEW JERSEY,2020,969
807,Under 18,705,156,81,0,4,90,62,12,51,15,3,53,0,1,0,140,8,101,1,2,33,0,0,6,2,0,30,0,90,0,1,64,1650076,NEW JERSEY,2021,6
808,Total all ages,15032,1346,1616,39,37,274,996,262,1237,102,15,2532,54,90,22,428,367,825,77,35,1764,2,322,1680,36,0,423,24,3388,0,1,0,0,NEW JERSEY,2021,72
809,Over 18,14327,1190,1535,39,33,184,934,250,1186,87,12,2479,54,89,22,288,359,724,76,33,1731,2,322,1674,34,0,393,24,3298,0,0,0,0,NEW JERSEY,2021,66
810,Under 18,4951,223,1806,16,12,10,185,156,1448,32,170,603,2,12,5,36,145,63,4,22,566,2,18,34,203,1,134,0,1072,0,0,50,1349565,NEW MEXICO,2013,34
811,Total all ages,65526,3149,10782,71,93,226,2759,1182,8740,217,643,6807,176,366,165,676,891,402,265,119,4773,7,782,6352,2404,79,1762,0,25569,0,0,0,0,NEW MEXICO,2013,212
812,Over 18,60575,2926,8976,55,81,216,2574,1026,7292,185,473,6204,174,354,160,640,746,339,261,97,4207,5,764,6318,2201,78,1628,0,24497,0,0,0,0,NEW MEXICO,2013,178
813,Under 18,5254,252,1274,4,9,6,233,139,1090,34,11,727,2,17,4,40,123,63,2,11,671,0,28,48,334,7,262,3,1386,0,0,70,1622929,NEW MEXICO,2014,20
814,Total all ages,81447,3813,10166,73,116,230,3394,1375,8461,287,43,7992,198,553,166,764,906,408,155,105,5529,6,1346,7384,2708,56,2251,58,36866,17,0,0,0,NEW MEXICO,2014,221
815,Over 18,76193,3561,8892,69,107,224,3161,1236,7371,253,32,7265,196,536,162,724,783,345,153,94,4858,6,1318,7336,2374,49,1989,55,35480,17,0,0,0,NEW MEXICO,2014,201
816,Under 18,5179,242,1255,7,14,10,211,129,997,44,85,787,2,16,6,44,160,79,2,18,675,0,49,67,254,26,297,2,1192,2,4,71,1577658,NEW MEXICO,2015,32
817,Total all ages,87310,3984,10496,70,107,365,3442,1045,8758,365,328,8696,248,524,158,1051,1137,529,62,117,7188,1,1456,8542,2509,2541,2543,99,35386,39,4,0,0,NEW MEXICO,2015,224
818,Over 18,82131,3742,9241,63,93,355,3231,916,7761,321,243,7909,246,508,152,1007,977,450,60,99,6513,1,1407,8475,2255,2515,2246,97,34194,37,0,0,0,NEW MEXICO,2015,192
819,Under 18,4254,248,1070,9,8,20,211,79,813,54,124,681,2,15,7,55,154,66,1,16,512,0,14,62,163,19,178,0,986,1,4,57,1498550,NEW MEXICO,2016,24
820,Total all ages,77509,4007,10421,66,118,360,3463,918,8419,447,637,8482,237,631,214,1449,1214,576,36,83,6924,0,850,6178,1977,445,1602,247,31924,8,4,0,0,NEW MEXICO,2016,201
821,Over 18,73255,3759,9351,57,110,340,3252,839,7606,393,513,7801,235,616,207,1394,1060,510,35,67,6412,0,836,6116,1814,426,1424,247,30938,7,0,0,0,NEW MEXICO,2016,177
822,Under 18,1303,172,220,0,3,21,148,46,154,19,1,249,2,3,1,51,35,14,1,2,99,0,11,25,31,28,41,0,318,0,0,23,823584,NEW MEXICO,2017,5
823,Total all ages,40552,2708,4340,25,43,344,2296,613,3546,170,11,6223,138,230,74,1165,684,179,35,31,2377,0,680,3283,473,1578,973,64,15300,17,0,0,0,NEW MEXICO,2017,74
824,Over 18,39249,2536,4120,25,40,323,2148,567,3392,151,10,5974,136,227,73,1114,649,165,34,29,2278,0,669,3258,442,1550,932,64,14982,17,0,0,0,NEW MEXICO,2017,69
825,Under 18,3203,231,478,7,10,22,192,69,360,40,9,664,1,7,4,45,86,66,1,10,472,0,18,53,132,7,161,0,765,1,1,59,1406211,NEW MEXICO,2018,20
826,Total all ages,74786,4232,7309,67,103,425,3637,916,5993,359,41,8588,171,324,123,1015,1015,535,87,70,5375,3,1388,6464,1333,568,1497,30,34655,3,1,0,0,NEW MEXICO,2018,173
