,Age,TotalAll,TotalViolent,TotalProperty,MurderManslaughter,Rape,Robbery,AggravatedAssault,Burglary,Larceny,CarTheft,Arson,Assault,ForgeryCounterfeit,Fraud,Embezzlement,StolenProperty,Vandalism,Weapons,CommercialSex,Sex,DrugAbuse,Gambling,FamilyChildren,DUI,LiquorLaws,Drunkenness,DisorderlyConduct,Vagrancy,AllOther,Suspicion,CurfewLoitering,NumberAgencies,Population,State,Year,TotalNonTraffickSex
44,Over 18,28933,2480,3324,34,114,346,1986,506,2174,623,21,4569,149,195,48,116,994,369,2,229,863,0,171,3113,527,46,833,17,10888,0,0,0,0,ALASKA,2018,343
45,Under 18,1433,177,321,5,34,24,114,110,148,52,11,372,2,3,2,3,108,18,0,24,156,0,0,22,43,1,11,0,170,0,0,19,684330,ALASKA,2019,58
46,Total all ages,27602,2559,3006,46,126,310,2077,606,1878,473,49,4853,78,121,43,93,1161,258,5,242,930,0,150,2855,305,31,740,2,10170,0,0,0,0,ALASKA,2019,368
47,Over 18,26169,2382,2685,41,92,286,1963,496,1730,421,38,4481,76,118,41,90,1053,240,5,218,774,0,150,2833,262,30,729,2,10000,0,0,0,0,ALASKA,2019,310
48,Under 18,1052,146,198,3,21,17,105,69,68,53,8,300,0,9,1,0,131,11,0,11,56,0,0,32,47,0,10,0,100,0,0,31,719120,ALASKA,2020,32
49,Total all ages,26353,2598,2396,33,160,287,2118,471,1545,338,42,4591,53,199,35,66,1063,332,1,242,808,0,101,3008,275,19,655,44,9865,2,0,0,0,ALASKA,2020,402
50,Over 18,25301,2452,2198,30,139,270,2013,402,1477,285,34,4291,53,190,34,66,932,321,1,231,752,0,101,2976,228,19,645,44,9765,2,0,0,0,ALASKA,2020,370
51,Under 18,416,60,78,0,21,4,35,45,23,8,2,114,1,0,0,0,43,3,0,8,26,0,0,16,18,0,6,0,43,0,0,28,371959,ALASKA,2021,29
52,Total all ages,10525,801,609,14,84,22,681,151,349,96,13,1899,7,19,3,11,323,113,0,45,447,0,32,1529,130,0,405,1,4151,0,0,0,0,ALASKA,2021,129
53,Over 18,10109,741,531,14,63,18,646,106,326,88,11,1785,6,19,3,11,280,110,0,37,421,0,32,1513,112,0,399,1,4108,0,0,0,0,ALASKA,2021,100
54,Under 18,29861,955,6755,20,32,270,633,959,5413,304,79,4014,24,83,10,91,2187,221,8,310,3917,0,200,291,3266,0,1769,10,3860,0,1890,86,6466774,ARIZONA,2013,342
55,Total all ages,279551,9493,42399,253,265,1815,7160,4302,36258,1623,216,26443,1519,2287,201,1257,11283,2637,743,1688,30962,1,2247,31662,17822,0,15533,481,79003,0,1890,0,0,ARIZONA,2013,1953
56,Over 18,249690,8538,35644,233,233,1545,6527,3343,30845,1319,137,22429,1495,2204,191,1166,9096,2416,735,1378,27045,1,2047,31371,14556,0,13764,471,75143,0,0,0,0,ARIZONA,2013,1611
57,Under 18,26173,821,5953,12,46,220,543,768,4838,285,62,3589,18,57,5,82,2036,180,6,291,3475,0,223,218,2682,0,1591,45,3523,0,1378,86,6303555,ARIZONA,2014,337
58,Total all ages,261448,8899,41250,181,303,1593,6822,3893,35580,1579,198,25530,1140,2076,156,1182,10747,2370,855,1629,29670,6,2466,26843,14323,0,14777,288,75863,0,1378,0,0,ARIZONA,2014,1932
59,Over 18,235275,8078,35297,169,257,1373,6279,3125,30742,1294,136,21941,1122,2019,151,1100,8711,2190,849,1338,26195,6,2243,26625,11641,0,13186,243,72340,0,0,0,0,ARIZONA,2014,1595
60,Under 18,21510,618,4691,8,45,117,448,499,3935,201,56,3042,7,55,13,88,1481,131,0,151,2835,2,251,186,1796,134,1652,81,3049,10,1237,98,5108556,ARIZONA,2015,196
61,Total all ages,226367,7161,30609,134,230,1047,5750,2672,26717,1064,156,20492,706,1505,139,952,7934,1929,220,1080,24892,15,3317,22367,10079,12521,16750,244,62041,177,1237,0,0,ARIZONA,2015,1310
62,Over 18,204857,6543,25918,126,185,930,5302,2173,22782,863,100,17450,699,1450,126,864,6453,1798,220,929,22057,13,3066,22181,8283,12387,15098,163,58992,167,0,0,0,ARIZONA,2015,1114
63,Under 18,22997,1020,5113,15,53,336,616,759,3968,341,45,3667,13,80,19,126,1761,221,2,259,3090,0,177,211,1668,84,1436,65,2924,0,1061,90,6391343,ARIZONA,2016,312
64,Total all ages,263699,11145,37592,242,344,1849,8710,3957,31907,1551,177,26150,1098,2005,352,1341,10031,2878,387,1388,30309,3,2520,23498,9745,14100,15874,351,71741,130,1061,0,0,ARIZONA,2016,1732
65,Over 18,240702,10125,32479,227,291,1513,8094,3198,27939,1210,132,22483,1085,1925,333,1215,8270,2657,385,1129,27219,3,2343,23287,8077,14016,14438,286,68817,130,0,0,0,ARIZONA,2016,1420
66,Under 18,22613,1228,4528,30,52,450,696,761,3364,347,56,3677,22,74,6,156,1754,258,4,218,3096,1,182,198,1461,78,1424,57,3062,3,1126,91,6400872,ARIZONA,2017,270
67,Total all ages,277698,12832,34919,261,339,2085,10147,3974,29142,1590,213,26801,1201,2076,457,1410,10287,3090,303,1289,33230,12,2680,24195,8935,15574,15505,616,81016,144,1126,0,0,ARIZONA,2017,1628
68,Over 18,255085,11604,30391,231,287,1635,9451,3213,25778,1243,157,23124,1179,2002,451,1254,8533,2832,299,1071,30134,11,2498,23997,7474,15496,14081,559,77954,141,0,0,0,ARIZONA,2017,1358
69,Under 18,20478,1127,3298,16,65,388,658,535,2414,325,24,3866,21,77,12,87,1631,247,2,221,3239,1,248,141,1060,74,1424,27,3022,0,653,91,6586181,ARIZONA,2018,286
70,Total all ages,256785,11628,32622,281,328,1940,9079,3883,26621,1711,407,25198,1121,2055,854,1087,10177,3093,349,1386,32272,2,2448,19200,7082,11514,14723,567,78700,54,653,0,0,ARIZONA,2018,1714
71,Over 18,236307,10501,29324,265,263,1552,8421,3348,24207,1386,383,21332,1100,1978,842,1000,8546,2846,347,1165,29033,1,2200,19059,6022,11440,13299,540,75678,54,0,0,0,ARIZONA,2018,1428
72,Under 18,18502,1097,2839,19,48,296,734,489,1992,328,30,3583,9,69,6,87,1473,288,3,254,2970,1,188,130,988,92,1299,36,2659,0,431,94,5578646,ARIZONA,2019,302
73,Total all ages,235594,11325,29328,294,267,1797,8967,3536,24164,1456,172,23655,772,1959,424,896,9185,2884,242,1239,28254,1,2501,18041,5950,11317,13658,421,73083,28,431,0,0,ARIZONA,2019,1506
74,Over 18,217092,10228,26489,275,219,1501,8233,3047,22172,1128,142,20072,763,1890,418,809,7712,2596,239,985,25284,0,2313,17911,4962,11225,12359,385,70424,28,0,0,0,ARIZONA,2019,1204
75,Under 18,13454,1049,1865,22,40,320,667,343,1219,273,30,2707,6,34,6,88,1165,281,5,216,1432,9,85,124,615,32,1040,38,2101,1,555,86,6456926,ARIZONA,2020,256
76,Total all ages,187255,11663,26624,340,322,1872,9129,3521,21221,1670,212,23451,610,1462,345,1022,8781,3600,368,1051,21945,9,1595,14909,3567,1291,11128,572,52697,10,555,0,0,ARIZONA,2020,1373
77,Over 18,173801,10614,24759,318,282,1552,8462,3178,20002,1397,182,20744,604,1428,339,934,7616,3319,363,835,20513,0,1510,14785,2952,1259,10088,534,50596,9,0,0,0,ARIZONA,2020,1117
