,State,Age,TotalAll,TotalViolent,TotalProperty,MurderManslaughter,Rape,Robbery,AggravatedAssault,Burglary,Larceny,CarTheft,Arson,Assault,ForgeryCounterfeit,Fraud,Embezzlement,StolenProperty,Vandalism,Weapons,CommercialSex,Sex,DrugAbuse,Gambling,FamilyChildren,DUI,LiquorLaws,Drunkenness,DisorderlyConduct,Vagrancy,AllOther,Suspicion,CurfewLoitering,NumberAgencies,Population,StateR,Year
81,SOUTH CAROLINA,Total all ages,136075,6625,22443,298,439,1010,4878,2815,18515,1006,107,14931,1121,3125,400,2201,2644,2706,269,263,29084,47,927,7796,3730,5307,7939,562,23944,0,11,,,SOUTH CAROLINA,2019
82,SOUTH DAKOTA,Under 18,4791,112,546,2,9,13,88,48,413,79,6,657,2,51,4,47,156,107,0,15,754,0,237,60,516,3,476,0,986,0,62,106.0,816216.0,SOUTH DAKOTA,2019
83,SOUTH DAKOTA,Total all ages,44252,1138,2656,15,56,57,1010,285,2078,278,15,4801,162,777,24,179,537,279,19,48,7926,1,583,5522,1581,116,2525,628,14688,0,62,,,SOUTH DAKOTA,2019
84,TENNESSEE,Under 18,19687,1377,3717,28,105,461,783,532,2379,767,39,4059,40,139,19,122,843,435,0,125,2177,3,24,94,362,144,1403,0,3902,0,702,450.0,6521263.0,TENNESSEE,2019
85,TENNESSEE,Total all ages,321922,14335,36938,363,461,1687,11824,4621,28156,4006,155,31568,1970,4907,806,1519,4276,2673,503,548,45206,54,3268,18980,2957,13034,5678,10,131990,0,702,,,TENNESSEE,2019
86,TEXAS,Under 18,49409,4400,9351,79,330,1438,2553,1414,6802,1041,94,10062,104,247,24,99,1354,739,22,271,8464,13,280,281,916,492,960,8,10101,0,1221,791.0,25983457.0,TEXAS,2019
87,TEXAS,Total all ages,624840,33962,68132,698,1988,5539,25737,8256,54410,5038,428,73057,3808,6637,305,718,6787,11076,2999,1501,115658,295,3500,64161,6907,44330,6451,501,172833,1,1221,,,TEXAS,2019
88,UTAH,Under 18,11334,337,2330,5,92,59,181,182,2016,97,35,1473,4,50,10,68,790,175,17,220,1968,0,34,139,574,44,330,0,2538,0,233,106.0,2858860.0,UTAH,2019
89,UTAH,Total all ages,91685,2619,14165,54,340,354,1871,869,12813,398,85,8590,618,831,48,898,2906,870,185,693,14479,3,1617,5082,3240,2945,2353,54,29251,5,233,,,UTAH,2019
90,VERMONT,Under 18,803,47,135,0,15,6,26,42,77,14,2,238,0,2,8,4,79,17,0,8,27,0,3,15,16,0,101,0,103,0,0,80.0,622083.0,VERMONT,2019
