,AgeR,AgeDetailR,ComputerR,EducationR,EmploymentR,GenderR,IncomeInPast12MonthsR,InternetR,PovertyR,TotalHouseholds,TotalPopulation,TotalTraffick
167,1,0,0,0,0,0,0,5,0,558562,0,0
168,1,0,0,0,0,0,0,6,0,61316,0,0
169,1,0,0,0,0,0,0,7,0,65333,0,0
170,1,0,0,0,0,0,0,8,0,574979,0,0
171,1,0,0,0,0,0,1,0,0,421076,0,0
172,1,0,0,0,0,0,1,0,0,2467,0,0
173,1,0,0,0,0,0,1,0,0,177988,0,0
174,1,0,0,0,0,0,1,8,0,240621,0,0
175,1,0,0,0,0,0,2,0,0,907973,0,0
176,1,0,0,0,0,0,2,0,0,6234,0,0
177,1,0,0,0,0,0,2,0,0,618469,0,0
178,1,0,0,0,0,0,2,8,0,283270,0,0
179,1,0,0,0,0,0,3,0,0,517341,0,0
180,1,0,0,0,0,0,3,0,0,2277,0,0
181,1,0,0,0,0,0,3,0,0,463976,0,0
182,1,0,0,0,0,0,3,8,0,51088,0,0
183,1,0,0,0,0,0,0,0,0,0,3239351,0
184,1,0,0,6,0,0,0,0,0,0,166885,0
185,1,0,0,7,0,0,0,0,0,0,343006,0
186,1,0,0,2,0,0,0,0,0,0,1005295,0
187,1,0,0,8,0,0,0,0,0,0,711180,0
188,1,0,0,9,0,0,0,0,0,0,251335,0
189,1,0,0,10,0,0,0,0,0,0,478812,0
190,1,0,0,11,0,0,0,0,0,0,282838,0
191,1,0,0,5,0,0,0,0,0,0,0,0
192,1,0,0,4,0,0,0,0,0,0,0,0
193,1,0,0,0,0,0,0,0,0,0,719326,0
194,1,0,0,5,0,0,0,0,0,0,553702,0
195,1,0,0,4,0,0,0,0,0,0,138240,0
196,1,0,0,0,0,2,0,0,0,0,1532613,0
197,1,0,0,6,0,2,0,0,0,0,86909,0
198,1,0,0,7,0,2,0,0,0,0,172596,0
199,1,0,0,2,0,2,0,0,0,0,490120,0
200,1,0,0,8,0,2,0,0,0,0,324720,0
201,1,0,0,9,0,2,0,0,0,0,100716,0
202,1,0,0,10,0,2,0,0,0,0,226204,0
203,1,0,0,11,0,2,0,0,0,0,131348,0
204,1,0,0,5,0,2,0,0,0,0,0,0
205,1,0,0,4,0,2,0,0,0,0,0,0
206,1,0,0,0,0,2,0,0,0,0,309311,0
207,1,0,0,5,0,2,0,0,0,0,243074,0
208,1,0,0,4,0,2,0,0,0,0,76673,0
209,1,0,0,0,0,1,0,0,0,0,1706738,0
210,1,0,0,6,0,1,0,0,0,0,79976,0
211,1,0,0,7,0,1,0,0,0,0,170410,0
212,1,0,0,2,0,1,0,0,0,0,515175,0
213,1,0,0,8,0,1,0,0,0,0,386460,0
214,1,0,0,9,0,1,0,0,0,0,150619,0
215,1,0,0,10,0,1,0,0,0,0,252608,0
216,1,0,0,11,0,1,0,0,0,0,151490,0
217,1,0,0,5,0,1,0,0,0,0,0,0
218,1,0,0,4,0,1,0,0,0,0,0,0
219,1,0,0,0,0,1,0,0,0,0,410015,0
220,1,0,0,5,0,1,0,0,0,0,310628,0
221,1,0,0,4,0,1,0,0,0,0,61567,0
222,1,0,0,0,0,0,0,0,1,0,4711439,0
223,1,0,0,0,0,0,0,0,1,0,994540,0
224,1,0,0,0,0,0,0,0,1,0,699556,0
225,1,0,0,0,0,2,0,0,1,0,2270620,0
226,1,0,0,0,0,1,0,0,1,0,2440819,0
227,1,0,0,0,0,0,0,0,1,0,3179625,0
228,1,0,0,1,0,0,0,0,1,0,486352,0
229,1,0,0,2,0,0,0,0,1,0,984272,0
230,1,0,0,0,0,0,0,0,1,0,950631,0
231,1,0,0,4,0,0,0,0,1,0,758370,0
232,1,0,0,0,1,0,0,0,1,0,2013547,0
233,1,0,0,0,1,2,0,0,1,0,1055927,0
234,1,0,0,0,1,1,0,0,1,0,957620,0
235,1,0,0,0,2,0,0,0,1,0,204178,0
236,1,0,0,0,2,2,0,0,1,0,104405,0
237,1,0,0,0,2,1,0,0,1,0,99773,0
238,1,0,0,0,3,0,0,0,1,0,1464821,0
239,1,0,0,0,4,0,0,0,1,0,787650,0
240,1,0,0,0,5,0,0,0,1,0,1488015,0
241,1,0,0,0,0,0,0,0,2,0,887260,0
242,1,0,0,0,0,0,0,0,2,0,111826,0
243,1,0,0,0,0,0,0,0,2,0,75013,0
244,1,0,0,0,0,2,0,0,2,0,384633,0
245,1,0,0,0,0,1,0,0,2,0,502627,0
246,1,0,0,0,0,0,0,0,2,0,462471,0
247,1,0,0,1,0,0,0,0,2,0,150511,0
248,1,0,0,2,0,0,0,0,2,0,161508,0
249,1,0,0,0,0,0,0,0,2,0,116948,0
250,1,0,0,4,0,0,0,0,2,0,33504,0
251,1,0,0,0,1,0,0,0,2,0,173513,0
252,1,0,0,0,1,2,0,0,2,0,74041,0
253,1,0,0,0,1,1,0,0,2,0,99472,0
254,1,0,0,0,2,0,0,0,2,0,80094,0
255,1,0,0,0,2,2,0,0,2,0,35815,0
256,1,0,0,0,2,1,0,0,2,0,44279,0
257,1,0,0,0,3,0,0,0,2,0,56075,0
258,1,0,0,0,4,0,0,0,2,0,176239,0
259,1,0,0,0,5,0,0,0,2,0,382929,0
260,1,0,0,0,0,0,0,0,0,0,4830620,0
261,3,2,0,0,0,0,0,0,0,0,0,0
262,3,3,0,0,0,0,0,0,0,0,0,0
263,3,4,0,0,0,0,0,0,0,0,0,0
264,3,5,0,0,0,0,0,0,0,0,0,0
265,3,6,0,0,0,0,0,0,0,0,0,0
266,2,1,0,0,0,0,0,0,0,0,0,0
267,1,0,0,0,0,0,0,0,0,0,1,0
268,1,0,0,0,0,2,0,0,0,0,2494971,0
269,1,0,0,0,0,2,0,0,0,0,2,0
270,1,0,0,0,0,0,0,0,0,1852518,0,0
271,1,0,1,0,0,0,0,0,0,1554798,0,0
272,1,0,2,0,0,0,0,0,0,1245790,0,0
273,1,0,3,0,0,0,0,0,0,140077,0,0
274,1,0,4,0,0,0,0,0,0,1332295,0,0
275,1,0,5,0,0,0,0,0,0,200264,0,0
276,1,0,6,0,0,0,0,0,0,933535,0,0
277,1,0,7,0,0,0,0,0,0,24300,0,0
278,1,0,8,0,0,0,0,0,0,38564,0,0
279,1,0,9,0,0,0,0,0,0,479,0,0
280,1,0,10,0,0,0,0,0,0,297720,0,0
281,1,0,0,0,0,0,0,1,0,1391526,0,0
282,1,0,0,0,0,0,0,2,0,8179,0,0
283,1,0,0,0,0,0,0,3,0,1383347,0,0
284,1,0,0,0,0,0,0,4,0,1166710,0,0
285,1,0,0,0,0,0,0,5,0,263739,0,0
286,1,0,0,0,0,0,0,6,0,1035900,0,0
287,1,0,0,0,0,0,0,7,0,131910,0,0
288,1,0,0,0,0,0,0,8,0,460992,0,0
289,1,0,0,0,0,0,1,0,0,414563,0,0
290,1,0,0,0,0,0,1,0,0,1845,0,0
291,1,0,0,0,0,0,1,0,0,204927,0,0
292,1,0,0,0,0,0,1,8,0,207791,0,0
293,1,0,0,0,0,0,2,0,0,888920,0,0
294,1,0,0,0,0,0,2,0,0,4654,0,0
295,1,0,0,0,0,0,2,0,0,671774,0,0
296,1,0,0,0,0,0,2,8,0,212492,0,0
297,1,0,0,0,0,0,3,0,0,549035,0,0
298,1,0,0,0,0,0,3,0,0,1680,0,0
299,1,0,0,0,0,0,3,0,0,506646,0,0
300,1,0,0,0,0,0,3,8,0,40709,0,0
301,1,0,0,0,0,0,0,0,0,0,3261408,0
302,1,0,0,6,0,0,0,0,0,0,162018,0
303,1,0,0,7,0,0,0,0,0,0,334018,0
304,1,0,0,2,0,0,0,0,0,0,1009593,0
305,1,0,0,8,0,0,0,0,0,0,714201,0
306,1,0,0,9,0,0,0,0,0,0,258502,0
307,1,0,0,10,0,0,0,0,0,0,492382,0
308,1,0,0,11,0,0,0,0,0,0,290694,0
309,1,0,0,5,0,0,0,0,0,0,0,0
310,1,0,0,4,0,0,0,0,0,0,0,0
311,1,0,0,0,0,0,0,0,0,0,742394,0
312,1,0,0,5,0,0,0,0,0,0,582174,0
313,1,0,0,4,0,0,0,0,0,0,148953,0
314,1,0,0,0,0,2,0,0,0,0,1543623,0
315,1,0,0,6,0,2,0,0,0,0,84217,0
316,1,0,0,7,0,2,0,0,0,0,167876,0
317,1,0,0,2,0,2,0,0,0,0,493922,0
318,1,0,0,8,0,2,0,0,0,0,327705,0
319,1,0,0,9,0,2,0,0,0,0,103244,0
320,1,0,0,10,0,2,0,0,0,0,232768,0
321,1,0,0,11,0,2,0,0,0,0,133891,0
322,1,0,0,5,0,2,0,0,0,0,0,0
323,1,0,0,4,0,2,0,0,0,0,0,0
324,1,0,0,0,0,2,0,0,0,0,320432,0
325,1,0,0,5,0,2,0,0,0,0,256799,0
326,1,0,0,4,0,2,0,0,0,0,82031,0
327,1,0,0,0,0,1,0,0,0,0,1717785,0
328,1,0,0,6,0,1,0,0,0,0,77801,0
329,1,0,0,7,0,1,0,0,0,0,166142,0
330,1,0,0,2,0,1,0,0,0,0,515671,0
331,1,0,0,8,0,1,0,0,0,0,386496,0
332,1,0,0,9,0,1,0,0,0,0,155258,0
333,1,0,0,10,0,1,0,0,0,0,259614,0
334,1,0,0,11,0,1,0,0,0,0,156803,0
335,1,0,0,5,0,1,0,0,0,0,0,0
336,1,0,0,4,0,1,0,0,0,0,0,0
337,1,0,0,0,0,1,0,0,0,0,421962,0
338,1,0,0,5,0,1,0,0,0,0,325375,0
339,1,0,0,4,0,1,0,0,0,0,66922,0
340,1,0,0,0,0,0,0,0,1,0,4720592,0
341,1,0,0,0,0,0,0,0,1,0,1017237,0
342,1,0,0,0,0,0,0,0,1,0,722398,0
343,1,0,0,0,0,2,0,0,1,0,2275511,0
344,1,0,0,0,0,1,0,0,1,0,2445081,0
345,1,0,0,0,0,0,0,0,1,0,3201391,0
346,1,0,0,1,0,0,0,0,1,0,473231,0
347,1,0,0,2,0,0,0,0,1,0,987318,0
348,1,0,0,0,0,0,0,0,1,0,961206,0
349,1,0,0,4,0,0,0,0,1,0,779636,0
350,1,0,0,0,1,0,0,0,1,0,2032590,0
351,1,0,0,0,1,2,0,0,1,0,1065931,0
352,1,0,0,0,1,1,0,0,1,0,966659,0
353,1,0,0,0,2,0,0,0,1,0,181601,0
354,1,0,0,0,2,2,0,0,1,0,92753,0
355,1,0,0,0,2,1,0,0,1,0,88848,0
356,1,0,0,0,3,0,0,0,1,0,1481306,0
357,1,0,0,0,4,0,0,0,1,0,775081,0
358,1,0,0,0,5,0,0,0,1,0,1500573,0
359,1,0,0,0,0,0,0,0,2,0,868666,0
360,1,0,0,0,0,0,0,0,2,0,115031,0
361,1,0,0,0,0,0,0,0,2,0,76342,0
362,1,0,0,0,0,2,0,0,2,0,375139,0
363,1,0,0,0,0,1,0,0,2,0,493527,0
364,1,0,0,0,0,0,0,0,2,0,458961,0
365,1,0,0,1,0,0,0,0,2,0,146130,0
366,1,0,0,2,0,0,0,0,2,0,161310,0
367,1,0,0,0,0,0,0,0,2,0,116977,0
368,1,0,0,4,0,0,0,0,2,0,34544,0
369,1,0,0,0,1,0,0,0,2,0,171469,0
370,1,0,0,0,1,2,0,0,2,0,72241,0
371,1,0,0,0,1,1,0,0,2,0,99228,0
372,1,0,0,0,2,0,0,0,2,0,71272,0
373,1,0,0,0,2,2,0,0,2,0,31792,0
374,1,0,0,0,2,1,0,0,2,0,39480,0
375,1,0,0,0,3,0,0,0,2,0,57032,0
376,1,0,0,0,4,0,0,0,2,0,168463,0
377,1,0,0,0,5,0,0,0,2,0,381329,0
378,1,0,0,0,0,0,0,0,0,0,4841164,0
379,3,2,0,0,0,0,0,0,0,0,0,0
380,3,3,0,0,0,0,0,0,0,0,0,0
381,3,4,0,0,0,0,0,0,0,0,0,0
382,3,5,0,0,0,0,0,0,0,0,0,0
383,3,6,0,0,0,0,0,0,0,0,0,0
384,2,1,0,0,0,0,0,0,0,0,0,0
385,1,0,0,0,0,0,0,0,0,0,82969,0
386,1,0,0,0,0,2,0,0,0,0,2350806,0
387,1,0,0,0,0,2,0,0,0,0,27191,0
388,1,0,0,0,0,1,0,0,0,0,2499965,0
389,1,0,0,0,0,1,0,0,0,0,55778,0
390,1,0,0,0,0,0,0,0,0,1856695,0,0
391,1,0,1,0,0,0,0,0,0,1511468,0,0
392,1,0,2,0,0,0,0,0,0,1276283,0,0
393,1,0,3,0,0,0,0,0,0,214778,0,0
394,1,0,4,0,0,0,0,0,0,1224108,0,0
395,1,0,5,0,0,0,0,0,0,111190,0,0
396,1,0,6,0,0,0,0,0,0,895396,0,0
397,1,0,7,0,0,0,0,0,0,15217,0,0
398,1,0,8,0,0,0,0,0,0,68078,0,0
399,1,0,9,0,0,0,0,0,0,1957,0,0
400,1,0,10,0,0,0,0,0,0,345227,0,0
401,1,0,0,0,0,0,0,1,0,1315494,0,0
402,1,0,0,0,0,0,0,2,0,12516,0,0
403,1,0,0,0,0,0,0,3,0,1302978,0,0
404,1,0,0,0,0,0,0,4,0,833798,0,0
405,1,0,0,0,0,0,0,5,0,190012,0,0
406,1,0,0,0,0,0,0,6,0,1032992,0,0
407,1,0,0,0,0,0,0,7,0,110979,0,0
408,1,0,0,0,0,0,0,8,0,541201,0,0
409,1,0,0,0,0,0,1,0,0,408611,0,0
410,1,0,0,0,0,0,1,0,0,2269,0,0
411,1,0,0,0,0,0,1,0,0,181083,0,0
412,1,0,0,0,0,0,1,8,0,225259,0,0
413,1,0,0,0,0,0,2,0,0,898496,0,0
414,1,0,0,0,0,0,2,0,0,7550,0,0
415,1,0,0,0,0,0,2,0,0,625894,0,0
416,1,0,0,0,0,0,2,8,0,265052,0,0
417,1,0,0,0,0,0,3,0,0,549588,0,0
418,1,0,0,0,0,0,3,0,0,2697,0,0
419,1,0,0,0,0,0,3,0,0,496001,0,0
420,1,0,0,0,0,0,3,8,0,50890,0,0
421,1,0,0,0,0,0,0,0,0,0,3276637,0
422,1,0,0,6,0,0,0,0,0,0,154405,0
423,1,0,0,7,0,0,0,0,0,0,326654,0
424,1,0,0,2,0,0,0,0,0,0,1012551,0
425,1,0,0,8,0,0,0,0,0,0,712204,0
426,1,0,0,9,0,0,0,0,0,0,267245,0
427,1,0,0,10,0,0,0,0,0,0,503930,0
428,1,0,0,11,0,0,0,0,0,0,299648,0
429,1,0,0,5,0,0,0,0,0,0,0,0
430,1,0,0,4,0,0,0,0,0,0,0,0
431,1,0,0,0,0,0,0,0,0,0,762032,0
432,1,0,0,5,0,0,0,0,0,0,605338,0
433,1,0,0,4,0,0,0,0,0,0,158460,0
434,1,0,0,0,0,2,0,0,0,0,1549757,0
435,1,0,0,6,0,2,0,0,0,0,79907,0
