,Year,State,Age,Population,NumberAgencies,TotalAll,TotalTraffick,TotalNonTraffickSex,TotalProperty,TotalViolent,CommercialSex,CommercialSexAct,InvoluntaryServitude,Rape,Sex,AggravatedAssault,AllOther,Arson,Assault,Burglary,CarTheft,CurfewLoitering,DisorderlyConduct,DrugAbuse,Drunkenness,DUI,Embezzlement,FamilyChildren,ForgeryCounterfeit,Fraud,Gambling,Larceny,LiquorLaws,MurderManslaughter,Robbery,StolenProperty,Suspicion,Vagrancy,Vandalism,Weapons
77,2020,ARIZONA,Over 18,0,0,173801,1840,1117,24759,10614,363,1840,0,282,835,8462,50596,182,20744,3178,1397,0,10088,20513,1259,14785,339,1510,604,1428,0,20002,2952,318,1552,934,9,534,7616,3319
78,2021,ARIZONA,Under 18,3568504,67,7301,0,59,842,355,0,0,0,18,41,262,1640,21,1755,147,77,230,684,538,0,124,1,18,3,27,0,597,406,12,63,12,0,0,525,100
79,2021,ARIZONA,Total all ages,0,0,90161,366,304,9573,3619,64,325,41,126,178,3027,27682,101,11505,1153,697,230,8093,9457,0,11932,54,351,194,610,0,7622,1909,103,363,314,0,129,3285,982
80,2021,ARIZONA,Over 18,0,0,82860,366,245,8731,3264,64,325,41,108,137,2765,26042,80,9750,1006,620,0,7409,8919,0,11808,53,333,191,583,0,7025,1503,91,300,302,0,129,2760,882
81,2013,ARKANSAS,Under 18,2746564,230,9197,0,86,2516,302,4,0,0,34,52,186,1932,8,1458,473,54,243,864,830,95,67,1,1,8,28,0,1981,333,4,78,86,0,0,253,124
82,2013,ARKANSAS,Total all ages,0,0,138054,0,403,16631,4013,198,0,0,211,192,3057,65618,57,11022,2762,369,243,3292,11391,8628,7811,27,314,804,1584,39,13443,2355,95,650,1022,0,565,1308,997
83,2013,ARKANSAS,Over 18,0,0,128857,0,317,14115,3711,194,0,0,177,140,2871,63686,49,9564,2289,315,0,2428,10561,8533,7744,26,313,796,1556,39,11462,2022,91,572,936,0,565,1055,873
84,2014,ARKANSAS,Under 18,2631837,251,7936,0,71,2121,340,1,0,0,45,26,210,1649,6,1443,390,81,204,562,676,85,59,1,3,12,27,0,1644,264,2,83,110,0,0,253,100
85,2014,ARKANSAS,Total all ages,0,0,119850,0,361,15484,3998,222,0,0,243,118,3087,54791,50,10590,2176,413,204,2462,11168,5912,6844,44,277,724,1256,8,12845,1918,86,582,1138,0,542,1252,898
86,2014,ARKANSAS,Over 18,0,0,111914,0,290,13363,3658,221,0,0,198,92,2877,53142,44,9147,1786,332,0,1900,10492,5827,6785,43,274,712,1229,8,11201,1654,84,499,1028,0,542,999,798
87,2015,ARKANSAS,Under 18,2686917,258,8163,0,79,2158,409,3,0,0,46,33,275,1774,26,1369,344,49,300,401,748,86,62,1,2,8,34,0,1739,270,12,76,136,0,0,280,89
88,2015,ARKANSAS,Total all ages,0,0,127083,256,407,15771,4667,271,256,0,273,134,3682,58085,73,11084,1977,364,300,2185,12700,6710,6919,54,223,700,1145,1,13357,1890,123,589,1277,0,731,1350,886
89,2015,ARKANSAS,Over 18,0,0,118920,256,328,13613,4258,268,256,0,227,101,3407,56311,47,9715,1633,315,0,1784,11952,6624,6857,53,221,692,1111,1,11618,1620,111,513,1141,0,731,1070,797
90,2016,ARKANSAS,Under 18,2786173,271,8045,0,79,1801,424,0,0,0,44,35,279,1765,5,1433,414,74,363,470,770,87,44,1,10,8,31,0,1308,219,10,91,163,0,0,298,123
91,2016,ARKANSAS,Total all ages,0,0,132165,384,408,13791,4860,277,256,128,289,119,3867,60504,45,11849,2174,488,363,2425,15736,6589,6703,64,354,813,1114,8,11084,1769,143,561,1437,0,890,1460,1040
92,2016,ARKANSAS,Over 18,0,0,124120,384,329,11990,4436,277,256,128,245,84,3588,58739,40,10416,1760,414,0,1955,14966,6502,6659,63,344,805,1083,8,9776,1550,133,470,1274,0,890,1162,917
93,2017,ARKANSAS,Under 18,2760388,264,7878,0,64,1562,459,0,0,0,46,18,297,1667,5,1443,386,88,310,609,876,85,32,5,6,15,29,0,1083,205,15,101,144,0,0,287,126
94,2017,ARKANSAS,Total all ages,0,0,123971,0,330,12355,4715,172,0,0,238,92,3776,54506,40,11347,2026,603,310,2469,17515,6247,5988,54,293,830,893,13,9686,1475,138,563,1766,0,315,1510,1106
95,2017,ARKANSAS,Over 18,0,0,116093,0,266,10793,4256,172,0,0,192,74,3479,52839,35,9904,1640,515,0,1860,16639,6162,5956,49,287,815,864,13,8603,1270,123,462,1622,0,315,1223,980
