,Year,State,Age,Population,NumberAgencies,TotalAll,TotalTraffick,TotalNonTraffickSex,TotalProperty,TotalViolent,CommercialSex,CommercialSexAct,InvoluntaryServitude,Rape,Sex,AggravatedAssault,AllOther,Arson,Assault,Burglary,CarTheft,CurfewLoitering,DisorderlyConduct,DrugAbuse,Drunkenness,DUI,Embezzlement,FamilyChildren,ForgeryCounterfeit,Fraud,Gambling,Larceny,LiquorLaws,MurderManslaughter,Robbery,StolenProperty,Suspicion,Vagrancy,Vandalism,Weapons
347,2017,ILLINOIS,Over 18,0,0,55965,2135,460,9060,2981,141,1635,500,241,219,1635,10596,46,11672,687,1812,0,2319,10070,0,2356,1,272,107,216,397,6515,109,244,861,46,0,18,1788,3597
348,2018,ILLINOIS,Under 18,2865349,2,7366,0,46,1876,786,0,0,0,29,17,175,916,10,1297,143,826,50,564,834,0,1,0,6,2,14,47,897,27,18,564,45,0,0,264,620
349,2018,ILLINOIS,Total all ages,0,0,86947,2048,787,14859,5581,115,1728,320,437,350,2306,14149,63,16749,1015,4267,50,3987,17060,0,2825,0,355,127,247,706,9514,181,416,2422,84,0,28,2696,6798
350,2018,ILLINOIS,Over 18,0,0,79581,2048,741,12983,4795,115,1728,320,408,333,2131,13233,53,15452,872,3441,0,3423,16226,0,2824,0,349,125,233,659,8617,154,398,1858,39,0,28,2432,6178
351,2019,ILLINOIS,Under 18,145719,1,696,0,2,66,50,0,0,0,1,1,21,111,5,133,5,6,24,95,123,0,0,0,1,0,6,0,50,8,1,27,29,0,0,25,24
352,2019,ILLINOIS,Total all ages,0,0,8248,2353,29,565,487,62,1844,509,19,10,375,3070,16,1516,76,12,24,643,569,0,396,0,213,17,33,0,461,73,18,75,93,0,21,319,137
353,2019,ILLINOIS,Over 18,0,0,7552,2353,27,499,437,62,1844,509,18,9,354,2959,11,1383,71,6,0,548,446,0,396,0,212,17,27,0,411,65,17,48,64,0,21,294,113
354,2020,ILLINOIS,Under 18,144795,1,456,0,1,37,37,0,0,0,1,0,12,82,5,65,7,2,16,79,56,0,1,0,0,0,0,0,23,5,1,23,24,0,0,32,22
355,2020,ILLINOIS,Total all ages,0,0,5615,1460,29,434,407,1,896,564,15,14,326,2013,17,1013,49,13,16,445,280,0,231,0,140,5,27,0,355,28,13,53,57,0,3,341,160
356,2020,ILLINOIS,Over 18,0,0,5159,1460,28,397,370,1,896,564,14,14,314,1931,12,948,42,11,0,366,224,0,230,0,140,5,27,0,332,23,12,30,33,0,3,309,138
357,2021,ILLINOIS,Under 18,2407151,118,2729,0,8,428,163,0,0,0,3,5,124,356,5,679,73,38,74,199,319,0,25,3,3,4,47,0,312,77,2,34,25,0,0,189,133
358,2021,ILLINOIS,Total all ages,0,0,38027,576,105,4208,1761,11,384,192,72,33,1462,10348,53,7414,568,164,74,1144,4101,0,4388,35,156,104,712,0,3423,463,43,184,141,0,1,1649,1284
359,2021,ILLINOIS,Over 18,0,0,35298,576,97,3780,1598,11,384,192,69,28,1338,9992,48,6735,495,126,0,945,3782,0,4363,32,153,100,665,0,3111,386,41,150,116,0,1,1460,1151
360,2013,INDIANA,Under 18,3817113,138,15960,0,219,4251,806,6,0,0,31,188,551,2347,45,3016,529,287,317,1124,1100,107,68,4,70,11,49,0,3390,1434,11,213,114,123,18,606,201
361,2013,INDIANA,Total all ages,0,0,129146,0,1224,21723,6138,725,0,0,167,1057,4754,35090,111,13541,2523,1042,317,4278,12470,7454,12295,145,936,755,1047,74,18047,7230,158,1059,710,139,121,1464,1437
362,2013,INDIANA,Over 18,0,0,113186,0,1005,17472,5332,719,0,0,136,869,4203,32743,66,10525,1994,755,0,3154,11370,7347,12227,141,866,744,998,74,14657,5796,147,846,596,16,103,858,1236
363,2014,INDIANA,Under 18,4830065,243,15814,0,174,4353,859,3,0,0,30,144,544,2357,33,2847,532,298,376,1009,1221,90,66,3,242,13,75,4,3490,1202,16,269,120,105,11,480,234
364,2014,INDIANA,Total all ages,0,0,143682,0,998,22937,7463,497,0,0,170,828,5919,44071,97,13121,2488,1271,376,3900,16167,5847,14878,130,1240,866,1355,14,19081,5940,189,1185,683,188,232,1390,1559
365,2014,INDIANA,Over 18,0,0,127868,0,824,18584,6604,494,0,0,140,684,5375,41714,64,10274,1956,973,0,2891,14946,5757,14812,127,998,853,1280,10,15591,4738,173,916,563,83,221,910,1325
366,2015,INDIANA,Under 18,4703413,236,14282,0,174,3503,755,2,0,0,28,146,434,2717,29,2426,383,271,336,838,1116,63,69,6,319,17,69,7,2820,1065,16,277,89,82,15,421,221
367,2015,INDIANA,Total all ages,0,0,150628,0,1069,21625,7327,431,0,0,183,886,5752,54680,83,12774,2245,1394,336,3619,16526,4366,14428,143,1257,891,1569,13,17903,5484,200,1192,566,136,164,1338,2069
368,2015,INDIANA,Over 18,0,0,136346,0,895,18122,6572,429,0,0,155,740,5318,51963,54,10348,1862,1123,0,2781,15410,4303,14359,137,938,874,1500,6,15083,4419,184,915,477,54,149,917,1848
369,2016,INDIANA,Under 18,4305899,204,12420,128,124,3074,758,2,128,0,19,105,429,2374,41,2161,317,316,218,697,1100,38,61,3,171,18,68,1,2400,745,12,298,83,8,33,447,255
370,2016,INDIANA,Total all ages,0,0,143554,256,969,19954,7323,309,256,0,193,776,5645,50656,107,12547,2208,1625,218,3517,18041,4316,13492,204,1042,1351,1670,21,16014,3665,160,1325,547,19,81,1419,2386
371,2016,INDIANA,Over 18,0,0,131134,128,845,16880,6565,307,128,0,174,671,5216,48282,66,10386,1891,1309,0,2820,16941,4278,13431,201,871,1333,1602,20,13614,2920,148,1027,464,11,48,972,2131
372,2017,INDIANA,Under 18,4267407,201,11369,0,171,2724,842,4,0,0,48,123,559,2077,25,1731,301,294,210,597,1391,39,60,7,209,15,63,0,2104,653,17,218,35,4,29,349,207
373,2017,INDIANA,Total all ages,0,0,147199,192,881,17546,8345,305,128,64,208,673,6569,49499,72,11260,2016,1629,210,3453,26364,3820,13263,266,1059,1234,1885,14,13829,3792,182,1386,343,38,347,1200,2283
374,2017,INDIANA,Over 18,0,0,135830,192,710,14822,7503,301,128,64,160,550,6010,47422,47,9529,1715,1335,0,2856,24973,3781,13203,259,850,1219,1822,14,11725,3139,165,1168,308,34,318,851,2076
375,2018,INDIANA,Under 18,4025425,202,8831,64,93,1784,615,0,64,0,29,64,414,1556,26,1652,199,220,104,518,1155,16,36,8,203,20,63,0,1339,457,9,163,24,2,9,342,203
376,2018,INDIANA,Total all ages,0,0,125536,480,752,14135,7236,204,368,112,212,540,5722,39648,73,10492,1617,1408,104,3177,25058,3261,11890,210,912,968,1434,7,11037,2824,184,1118,289,30,39,1054,2024
377,2018,INDIANA,Over 18,0,0,116705,416,659,12351,6621,204,304,112,183,476,5308,38092,47,8840,1418,1188,0,2659,23903,3245,11854,202,709,948,1371,7,9698,2367,175,955,265,28,30,712,1821
378,2019,INDIANA,Under 18,2713489,165,5211,0,41,902,282,0,0,0,9,32,211,1146,5,934,98,101,66,292,780,12,28,1,58,5,18,1,698,370,5,57,14,3,5,140,122
379,2019,INDIANA,Total all ages,0,0,76675,1467,373,8492,3235,17,963,504,90,283,2742,24965,67,5680,851,634,66,1883,15134,1771,8524,57,532,664,1010,19,6940,2434,71,332,129,12,25,541,1202
380,2019,INDIANA,Over 18,0,0,71464,1467,332,7590,2953,17,963,504,81,251,2531,23819,62,4746,753,533,0,1591,14354,1759,8496,56,474,659,992,18,6242,2064,66,275,115,9,20,401,1080
381,2020,INDIANA,Under 18,3535979,109,4298,64,69,684,404,0,64,0,25,44,232,1175,6,778,98,133,50,149,418,19,49,7,11,6,13,0,447,180,10,137,46,0,0,126,139
382,2020,INDIANA,Total all ages,0,0,75450,2496,395,7915,3978,36,1984,512,142,253,3058,25651,52,8426,1004,884,50,1880,11978,819,8874,79,299,515,626,2,5975,903,130,648,376,3,34,479,2274
383,2020,INDIANA,Over 18,0,0,71152,2432,326,7231,3574,36,1920,512,117,209,2826,24476,46,7648,906,751,0,1731,11560,800,8825,72,288,509,613,2,5528,723,120,511,330,3,34,353,2135
384,2021,INDIANA,Under 18,4671815,129,6641,0,76,889,538,0,0,0,28,48,317,1933,11,1466,107,208,96,256,640,0,38,2,4,7,23,0,563,248,20,173,47,0,0,162,244
385,2021,INDIANA,Total all ages,0,0,100461,3414,483,9430,4338,81,2688,726,170,313,3405,35471,65,12264,1101,1143,96,2308,17532,0,11840,78,347,214,750,3,7121,1145,140,623,483,0,3,564,3201
386,2021,INDIANA,Over 18,0,0,93820,3414,407,8541,3800,81,2688,726,142,265,3088,33538,54,10798,994,935,0,2052,16892,0,11802,76,343,207,727,3,6558,897,120,450,436,0,3,402,2957
387,2013,IOWA,Under 18,2780814,198,12888,0,95,3820,488,2,0,0,27,68,374,1766,70,1692,470,148,406,1478,982,162,97,9,3,14,35,0,3132,966,2,85,37,0,0,720,143
388,2013,IOWA,Total all ages,0,0,101402,0,326,15466,4055,113,0,0,102,224,3573,25870,140,8602,1790,457,406,5515,9182,11256,9825,72,1279,566,724,4,13079,5181,32,348,244,0,38,2069,711
389,2013,IOWA,Over 18,0,0,88514,0,231,11646,3567,111,0,0,75,156,3199,24104,70,6910,1320,309,0,4037,8200,11094,9728,63,1276,552,689,4,9947,4215,30,263,207,0,38,1349,568
390,2014,IOWA,Under 18,2814849,196,13115,0,94,3677,454,5,0,0,39,55,330,1962,55,1627,359,142,380,1581,1074,183,79,1,2,11,39,0,3121,861,2,83,36,0,0,945,143
391,2014,IOWA,Total all ages,0,0,100607,0,350,14885,4158,68,0,0,157,193,3612,26765,110,8537,1499,394,380,5443,9115,10951,9952,74,1208,509,761,5,12882,4352,28,361,204,0,16,2289,742
392,2014,IOWA,Over 18,0,0,87492,0,256,11208,3704,63,0,0,118,138,3282,24803,55,6910,1140,252,0,3862,8041,10768,9873,73,1206,498,722,5,9761,3491,26,278,168,0,16,1344,599
393,2015,IOWA,Under 18,2502758,180,10662,0,71,3155,545,2,0,0,29,42,425,1593,37,1374,407,142,369,1170,813,99,74,11,6,19,42,0,2569,550,6,85,35,0,0,651,112
394,2015,IOWA,Total all ages,0,0,89891,0,303,14137,4512,116,0,0,136,167,3971,26050,105,6897,1585,449,369,4137,8114,7639,9028,82,879,552,653,6,11998,3733,43,362,178,0,6,1931,705
395,2015,IOWA,Over 18,0,0,79229,0,232,10982,3967,114,0,0,107,125,3546,24457,68,5523,1178,307,0,2967,7301,7540,8954,71,873,533,611,6,9429,3183,37,277,143,0,6,1280,593
396,2016,IOWA,Under 18,2810823,206,10671,0,98,2556,558,1,0,0,34,64,411,1519,35,1560,391,152,404,1211,935,99,71,8,3,21,39,0,1978,689,3,110,47,0,0,766,120
397,2016,IOWA,Total all ages,0,0,95962,0,340,13033,4876,104,0,0,154,186,4271,29178,84,7790,1585,525,404,4104,9550,6983,9836,79,1242,584,752,5,10839,3943,55,396,177,0,9,2283,844
398,2016,IOWA,Over 18,0,0,85291,0,242,10477,4318,103,0,0,120,122,3860,27659,49,6230,1194,373,0,2893,8615,6884,9765,71,1239,563,713,5,8861,3254,52,286,130,0,9,1517,724
399,2017,IOWA,Under 18,2686879,190,10088,0,88,2607,445,1,0,0,41,47,307,1598,34,1518,407,248,252,991,902,75,83,12,3,27,49,0,1918,661,3,94,34,0,0,652,131
400,2017,IOWA,Total all ages,0,0,94485,0,317,12280,4709,46,0,0,192,125,4123,31274,92,7296,1594,565,252,3574,9645,5793,10082,79,1059,664,743,7,10029,3733,53,341,212,0,17,1995,900
401,2017,IOWA,Over 18,0,0,84397,0,229,9673,4264,45,0,0,151,78,3816,29676,58,5778,1187,317,0,2583,8743,5718,9999,67,1056,637,694,7,8111,3072,50,247,178,0,17,1343,769
402,2018,IOWA,Under 18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
403,2018,IOWA,Total all ages,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
404,2018,IOWA,Over 18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
405,2019,IOWA,Under 18,2597154,185,8901,0,77,1891,503,1,0,0,44,33,389,1305,35,1723,293,201,122,964,890,84,75,2,5,13,39,0,1362,453,0,70,46,0,0,629,123
406,2019,IOWA,Total all ages,0,0,87139,64,279,10055,4436,32,0,64,183,96,3944,32223,85,7173,1271,581,122,3180,8444,4474,9667,45,870,433,558,4,8118,2491,35,274,239,0,8,1874,715
407,2019,IOWA,Over 18,0,0,78238,64,202,8164,3933,31,0,64,139,63,3555,30918,50,5450,978,380,0,2216,7554,4390,9592,43,865,420,519,4,6756,2038,35,204,193,0,8,1245,592
408,2020,IOWA,Under 18,2850739,216,7019,0,77,1550,490,0,0,0,57,20,343,1085,30,1263,254,237,86,419,721,65,93,6,4,11,33,0,1029,481,6,84,53,0,0,550,89
409,2020,IOWA,Total all ages,0,0,78092,0,351,9056,5129,11,0,0,258,93,4536,27575,106,7260,1446,642,86,1922,8166,2483,9190,40,906,393,455,2,6862,2071,56,279,285,0,6,2049,914
410,2020,IOWA,Over 18,0,0,71073,0,274,7506,4639,11,0,0,201,73,4193,26490,76,5997,1192,405,0,1503,7445,2418,9097,34,902,382,422,2,5833,1590,50,195,232,0,6,1499,825
411,2021,IOWA,Under 18,2825401,178,6490,0,97,1302,476,1,0,0,79,18,323,833,23,1755,199,253,1,162,726,0,78,6,3,14,60,0,827,357,7,67,74,0,0,528,96
412,2021,IOWA,Total all ages,0,0,68342,824,361,7780,4868,23,652,172,263,98,4346,23054,86,8587,1046,824,1,662,8378,0,8841,62,456,275,756,7,5824,1509,41,218,288,0,6,1951,740
413,2021,IOWA,Over 18,0,0,61852,824,264,6478,4392,22,652,172,184,80,4023,22221,63,6832,847,571,0,500,7652,0,8763,56,453,261,696,7,4997,1152,34,151,214,0,6,1423,644
414,2013,KANSAS,Under 18,2068879,238,5784,0,89,1368,186,4,0,0,26,63,138,992,17,932,138,57,0,252,815,4,83,19,10,4,21,0,1156,627,3,19,38,0,0,319,47
415,2013,KANSAS,Total all ages,0,0,78182,0,376,7209,2145,245,0,0,130,246,1746,27719,55,10665,867,383,0,2337,8130,355,9730,202,250,370,940,3,5904,4660,63,206,380,0,0,2002,594
416,2013,KANSAS,Over 18,0,0,72398,0,287,5841,1959,241,0,0,104,183,1608,26727,38,9733,729,326,0,2085,7315,351,9647,183,240,366,919,3,4748,4033,60,187,342,0,0,1683,547
417,2014,KANSAS,Under 18,1961283,222,5106,0,95,1107,226,0,0,0,38,57,143,876,20,763,116,70,0,238,747,0,78,12,9,9,12,0,901,609,5,40,28,0,0,299,36
418,2014,KANSAS,Total all ages,0,0,68291,0,345,6214,1992,104,0,0,151,194,1599,24429,57,9041,819,395,0,2146,7677,287,8438,159,207,261,648,0,4943,3868,37,205,368,0,0,1808,450
419,2014,KANSAS,Over 18,0,0,63185,0,250,5107,1766,104,0,0,113,137,1456,23553,37,8278,703,325,0,1908,6930,287,8360,147,198,252,636,0,4042,3259,32,165,340,0,0,1509,414
420,2015,KANSAS,Under 18,1883819,222,4959,0,77,1278,192,1,0,0,25,52,121,814,15,726,166,76,0,267,708,1,71,14,14,1,23,0,1021,462,1,45,22,0,0,270,43
421,2015,KANSAS,Total all ages,0,0,62188,0,312,6167,1991,75,0,0,140,172,1577,21266,53,8547,721,347,0,1954,7756,207,7186,159,261,224,582,0,5046,3225,53,221,367,0,0,1624,425
422,2015,KANSAS,Over 18,0,0,57229,0,235,4889,1799,74,0,0,115,120,1456,20452,38,7821,555,271,0,1687,7048,206,7115,145,247,223,559,0,4025,2763,52,176,345,0,0,1354,382
423,2016,KANSAS,Under 18,1732223,228,4081,0,67,910,170,1,0,0,25,42,106,619,19,643,84,69,0,204,668,0,58,8,8,5,10,0,738,408,6,33,47,0,0,226,54
424,2016,KANSAS,Total all ages,0,0,53823,128,264,4899,1948,56,0,128,126,138,1567,17857,50,7741,579,363,0,1558,7519,134,5923,107,182,189,403,0,3907,2593,50,205,577,0,0,1458,541
425,2016,KANSAS,Over 18,0,0,49742,128,197,3989,1778,55,0,128,101,96,1461,17238,31,7098,495,294,0,1354,6851,134,5865,99,174,184,393,0,3169,2185,44,172,530,0,0,1232,487
426,2017,KANSAS,Under 18,1900556,225,3948,0,60,683,185,0,0,0,17,43,138,638,20,742,102,71,0,156,701,1,61,8,6,4,22,0,490,353,3,27,48,0,0,243,54
427,2017,KANSAS,Total all ages,0,0,61144,192,279,4958,2198,127,192,0,112,167,1820,21892,51,8456,608,412,0,1613,9594,138,5443,111,228,263,580,0,3887,2353,62,204,584,0,0,1697,742
428,2017,KANSAS,Over 18,0,0,57196,192,219,4275,2013,127,192,0,95,124,1682,21254,31,7714,506,341,0,1457,8893,137,5382,103,222,259,558,0,3397,2000,59,177,536,0,0,1454,688
429,2018,KANSAS,Under 18,1308859,213,1639,0,24,105,43,0,0,0,12,12,27,562,1,165,17,10,0,108,202,0,31,7,14,0,2,0,77,335,0,4,8,0,0,42,3
430,2018,KANSAS,Total all ages,0,0,32837,0,87,1005,387,1,0,0,43,44,324,18984,9,1590,116,78,0,946,2242,119,4554,25,152,58,271,0,802,1971,5,15,120,0,0,285,83
431,2018,KANSAS,Over 18,0,0,31198,0,63,900,344,1,0,0,31,32,297,18422,8,1425,99,68,0,838,2040,119,4523,18,138,58,269,0,725,1636,5,11,112,0,0,243,80
432,2019,KANSAS,Under 18,1614393,218,3632,0,60,552,208,1,0,0,25,35,149,668,17,754,72,40,0,127,621,0,65,5,13,1,10,0,423,278,1,33,31,0,0,210,53
433,2019,KANSAS,Total all ages,0,0,52378,128,241,3741,2212,79,128,0,112,129,1859,18191,52,7043,416,290,0,1425,8475,103,5672,46,216,160,349,1,2983,1751,51,190,482,0,0,1536,767
434,2019,KANSAS,Over 18,0,0,48746,128,181,3189,2004,78,128,0,87,94,1710,17523,35,6289,344,250,0,1298,7854,103,5607,41,203,159,339,1,2560,1473,50,157,451,0,0,1326,714
435,2020,KANSAS,Under 18,1700866,220,3248,0,33,366,125,1,0,0,12,21,90,670,5,555,37,37,0,86,549,0,103,0,10,3,11,0,287,474,8,15,43,0,0,213,18
436,2020,KANSAS,Total all ages,0,0,46140,0,191,3542,1619,30,0,0,83,108,1402,15087,37,6137,380,272,0,929,7837,87,6192,22,221,147,350,0,2853,1568,46,88,515,1,0,1364,384
437,2020,KANSAS,Over 18,0,0,42892,0,158,3176,1494,29,0,0,71,87,1312,14417,32,5582,343,235,0,843,7288,87,6089,22,211,144,339,0,2566,1094,38,73,472,1,0,1151,366
438,2021,KANSAS,Under 18,1850993,192,3629,0,39,522,152,1,0,0,22,17,112,671,21,850,64,51,0,132,623,0,92,0,10,4,11,0,386,254,6,12,24,0,0,247,19
439,2021,KANSAS,Total all ages,0,0,50774,0,203,3965,1895,37,0,0,97,106,1648,18239,52,6798,448,305,0,1118,8668,0,5766,25,185,111,270,0,3160,1215,45,105,431,0,0,1593,352
440,2021,KANSAS,Over 18,0,0,47145,0,164,3443,1743,36,0,0,75,89,1536,17568,31,5948,384,254,0,986,8045,0,5674,25,175,107,259,0,2774,961,39,93,407,0,0,1346,333
441,2013,KENTUCKY,Under 18,4315933,369,6364,0,71,2351,339,3,0,0,17,54,146,944,84,1013,460,84,2,284,697,98,69,6,3,18,10,2,1723,42,6,170,163,0,7,165,94
442,2013,KENTUCKY,Total all ages,0,0,178212,0,605,22506,3687,298,0,0,187,418,2096,62669,170,11175,3669,607,2,4715,21830,17041,21946,428,4891,1051,1063,15,18060,260,129,1275,1902,0,212,1096,1007
443,2013,KENTUCKY,Over 18,0,0,171848,0,534,20155,3348,295,0,0,170,364,1950,61725,86,10162,3209,523,0,4431,21133,16943,21877,422,4888,1033,1053,13,16337,218,123,1105,1739,0,205,931,913
444,2014,KENTUCKY,Under 18,4361843,390,6453,0,82,2203,367,0,0,0,27,55,116,1060,56,1078,530,111,0,309,656,75,50,9,3,10,20,1,1506,34,11,213,232,0,10,158,123
445,2014,KENTUCKY,Total all ages,0,0,178916,0,619,23106,3790,226,0,0,249,370,2122,66467,145,11316,3507,629,0,4537,21644,15663,19953,483,4758,1022,1135,9,18825,234,159,1260,1912,0,179,1097,1015
446,2014,KENTUCKY,Over 18,0,0,172463,0,537,20903,3423,226,0,0,222,315,2006,65407,89,10238,2977,518,0,4228,20988,15588,19903,474,4755,1012,1115,8,17319,200,148,1047,1680,0,169,939,892
447,2015,KENTUCKY,Under 18,4381885,389,6232,0,73,1881,336,0,0,0,28,45,112,1185,17,1121,443,185,1,267,615,57,41,8,3,8,15,8,1236,13,9,187,334,0,0,193,101
448,2015,KENTUCKY,Total all ages,0,0,195415,0,613,20873,3484,275,0,0,238,375,1951,88148,74,11508,3169,681,1,4453,22106,15061,17825,467,4375,986,1135,15,16949,127,159,1136,2125,0,145,1059,872
449,2015,KENTUCKY,Over 18,0,0,189183,0,540,18992,3148,275,0,0,210,330,1839,86963,57,10387,2726,496,0,4186,21491,15004,17784,459,4372,978,1120,7,15713,114,150,949,1791,0,145,866,771
450,2016,KENTUCKY,Under 18,4424357,419,5639,0,65,1466,402,0,0,0,32,33,130,1028,10,1039,340,263,3,230,501,57,66,7,5,20,13,0,853,26,17,223,464,0,0,184,95
451,2016,KENTUCKY,Total all ages,0,0,210586,94,533,18219,3487,252,94,0,236,297,1944,106159,53,11703,2994,886,3,4095,23308,14259,16901,441,4547,1021,1003,9,14286,94,185,1122,2628,0,137,1132,891
452,2016,KENTUCKY,Over 18,0,0,204947,94,468,16753,3085,252,94,0,204,264,1814,105131,43,10664,2654,623,0,3865,22807,14202,16835,434,4542,1001,990,9,13433,68,168,899,2164,0,137,948,796
453,2017,KENTUCKY,Under 18,4329947,330,5273,0,63,1414,393,0,0,0,24,39,131,946,6,1029,326,171,2,177,533,44,41,8,5,13,16,0,911,8,26,212,347,0,0,164,94
454,2017,KENTUCKY,Total all ages,0,0,219872,3666,504,17117,3398,166,1841,1825,212,292,2014,114322,61,12015,2891,894,2,3949,26397,13722,15143,390,5216,1102,1370,3,13271,72,185,987,2992,0,70,1167,967
455,2017,KENTUCKY,Over 18,0,0,214599,3666,441,15703,3005,166,1841,1825,188,253,1883,113376,55,10986,2565,723,0,3772,25864,13678,15102,382,5211,1089,1354,3,12360,64,159,775,2645,0,70,1003,873
456,2018,KENTUCKY,Under 18,3500586,332,2985,0,52,691,161,0,0,0,24,28,69,643,31,767,125,107,1,137,257,27,39,16,2,6,12,0,428,11,9,59,86,0,0,77,24
457,2018,KENTUCKY,Total all ages,0,0,205075,2777,489,12269,1982,95,2043,734,252,237,1087,118907,123,9649,2060,723,1,3664,19355,14231,14812,378,4729,812,989,1,9363,168,126,517,1459,0,23,806,508
458,2018,KENTUCKY,Over 18,0,0,202090,2777,437,11578,1821,95,2043,734,228,209,1018,118264,92,8882,1935,616,0,3527,19098,14204,14773,362,4727,806,977,1,8935,157,117,458,1373,0,23,729,484
459,2019,KENTUCKY,Under 18,4315643,388,4798,0,66,1193,330,0,0,0,38,28,147,930,47,933,262,192,2,164,398,41,41,4,5,13,33,0,692,8,15,130,355,0,0,219,101
460,2019,KENTUCKY,Total all ages,0,0,241668,3241,501,16163,3386,100,1769,1472,267,234,2184,137751,147,12391,2646,987,2,4082,24555,14049,15570,351,5202,1074,1426,19,12383,135,161,774,2902,0,50,1406,820
461,2019,KENTUCKY,Over 18,0,0,236870,3241,435,14970,3056,100,1769,1472,229,206,2037,136821,100,11458,2384,795,0,3918,24157,14008,15529,347,5197,1061,1393,19,11691,127,146,644,2547,0,50,1187,719
462,2020,KENTUCKY,Under 18,3713933,336,1920,15,44,495,158,0,15,0,31,13,60,280,6,485,143,96,0,28,190,23,28,8,0,3,5,0,250,1,4,63,104,0,0,62,37
463,2020,KENTUCKY,Total all ages,0,0,141158,1015,403,9318,2105,15,921,94,226,177,1344,70444,65,9965,2006,712,0,2900,17118,9101,12122,273,3403,477,779,0,6535,31,109,426,1558,0,2,963,407
464,2020,KENTUCKY,Over 18,0,0,139238,1000,359,8823,1947,15,906,94,195,164,1284,70164,59,9480,1863,616,0,2872,16928,9078,12094,265,3403,474,774,0,6285,30,105,363,1454,0,2,901,370
465,2021,KENTUCKY,Under 18,4505498,426,2520,0,48,429,282,0,0,0,27,21,109,324,7,610,125,98,0,23,266,0,8,1,2,6,14,0,199,0,26,120,351,0,0,100,83
466,2021,KENTUCKY,Total all ages,0,0,177379,1966,466,9500,3428,15,1036,930,252,214,2350,106105,65,11215,2123,778,0,3307,20758,0,12426,177,3990,506,1057,8,6534,20,219,607,2630,0,17,1302,704
467,2021,KENTUCKY,Over 18,0,0,174859,1966,418,9071,3146,15,1036,930,225,193,2241,105781,58,10605,1998,680,0,3284,20492,0,12418,176,3988,500,1043,8,6335,20,193,487,2279,0,17,1202,621
468,2013,LOUISIANA,Under 18,3114237,138,16666,0,194,4274,1122,14,0,0,65,129,867,2610,36,3337,854,234,138,2168,1603,35,34,1,40,14,18,47,3150,103,11,179,148,16,47,502,266
469,2013,LOUISIANA,Total all ages,0,0,149789,0,1023,28322,8563,529,0,0,263,760,7141,43979,100,17955,4353,843,138,7929,20727,3118,6182,158,1077,659,1643,83,23026,1650,205,954,1273,54,417,2758,1815
470,2013,LOUISIANA,Over 18,0,0,133123,0,829,24048,7441,515,0,0,198,631,6274,41369,64,14618,3499,609,0,5761,19124,3083,6148,157,1037,645,1625,36,19876,1547,194,775,1125,38,370,2256,1549
471,2014,LOUISIANA,Under 18,2837980,132,12356,0,119,3060,611,5,0,0,36,83,426,2471,30,2606,775,193,175,1426,1007,14,28,1,34,7,9,2,2062,86,12,137,145,3,20,383,180
472,2014,LOUISIANA,Total all ages,0,0,121145,0,837,20526,5215,398,0,0,218,619,4163,38180,70,15282,3445,721,175,5777,17693,2626,5598,98,1125,546,1154,34,16290,1154,165,669,1166,102,124,1968,1585
473,2014,LOUISIANA,Over 18,0,0,108789,0,718,17466,4604,393,0,0,182,536,3737,35709,40,12676,2670,528,0,4351,16686,2612,5570,97,1091,539,1145,32,14228,1068,153,532,1021,99,104,1585,1405
474,2015,LOUISIANA,Under 18,2467765,121,10775,0,118,2514,558,3,0,0,50,68,378,2051,18,1746,557,190,117,1706,1022,17,30,1,41,1,10,4,1749,184,10,120,133,4,0,339,226
475,2015,LOUISIANA,Total all ages,0,0,111454,0,738,18898,4813,130,0,0,231,507,3786,34411,70,12438,2919,741,117,5350,17686,2204,5339,20,886,390,854,35,15168,2723,151,645,1114,30,177,1569,1763
476,2015,LOUISIANA,Over 18,0,0,100679,0,620,16384,4255,127,0,0,181,439,3408,32360,52,10692,2362,551,0,3644,16664,2187,5309,19,845,389,844,31,13419,2539,141,525,981,26,177,1230,1537
477,2016,LOUISIANA,Under 18,4183659,168,19018,128,284,4669,1328,11,128,0,112,172,855,3584,20,3061,1211,353,299,2537,1475,25,32,4,42,10,38,14,3085,233,28,333,372,9,51,600,452
478,2016,LOUISIANA,Total all ages,0,0,191920,7872,1854,32355,11372,521,7744,128,499,1355,8888,56154,109,23075,5422,1388,299,10435,27529,3567,7587,172,1538,731,1473,79,25436,3596,339,1646,2283,33,250,3739,3777
479,2016,LOUISIANA,Over 18,0,0,172902,7744,1570,27686,10044,510,7616,128,387,1183,8033,52570,89,20014,4211,1035,0,7898,26054,3542,7555,168,1496,721,1435,65,22351,3363,311,1313,1911,24,199,3139,3325
480,2017,LOUISIANA,Under 18,3747239,170,17571,0,263,4603,1149,8,0,0,95,168,753,2909,41,3124,1173,475,246,2307,1361,30,26,9,114,12,33,0,2914,191,36,265,258,4,32,589,398
