,Word,Frequency,Words,Respondents,Shared
399,vulnerable,3,Significant,Everyone,Common
400,walking,1,Significant,Currently Involved,Unique
401,want,2,Significant,Currently Involved,Unique
402,war,2,Significant,Everyone,Common
403,wealthier,1,Significant,Not Currently Involved,Unique
404,well,4,Significant,Everyone,Common
405,when,5,Stopword,Everyone,Common
406,where,9,Stopword,Everyone,Common
407,whether,1,Significant,Not Currently Involved,Unique
408,which,4,Stopword,Currently Involved,Unique
409,while,1,Stopword,Not Currently Involved,Unique
410,who,5,Stopword,Everyone,Common
411,will,30,Stopword,Everyone,Common
412,with,8,Stopword,Everyone,Common
413,without,8,Significant,Everyone,Common
414,women,2,Significant,Everyone,Common
415,work,14,Significant,Everyone,Common
416,would,3,Significant,Currently Involved,Unique
417,years,3,Significant,Everyone,Common
418,you,3,Stopword,Everyone,Common
419,young,3,Significant,Everyone,Common
420,your,4,Stopword,Everyone,Common
421,youth,1,Significant,Not Currently Involved,Unique
